*** 1 - 15 (/course/66669/1-5000-arabic-frequency-audio/1/)	
الـ	The
تمّ	"to finish, conclude, come to an end; to take place, be held"
حيث	"where, in which, so that"
"ثانٍ، الثاني"	"Second, additional, next, following"
حتّى	"Until, up to"
جميع	"All, everyone (not كلّ)"
منطقة	"Region, area, zone, territory"
حقّ	"Truth, (legal) right"
أمريكيّ	American
مثل	"Something like, similar, like, such as, the likes of (not ممثل، شبيه)"
لو	If (not إذا ٬ إن )
عامّ	"General, common, public"
اسم	Name
أمكن	to be possible
*** 91 - 105 (/course/66669/1-5000-arabic-frequency-audio/7/)	
لكن	"However, but"
رجل	n. Man
عالم	World (not دنيا)
حياة	Life
موضوع	"Subject, topic, theme, located, placed (مـ)"
وزير	Minister
نحن	We
وقت	"Time, moment, period  (not آن ,لحظة, زمن ، مرة، فترة  or حين)"
بلد	"country, nation (not دولة وطن, أمة)"
مَن	"Who, whom"
مجلس	"Council, board, parliament (not لجنة)"
قام	"to rise, stand up, undertake, carry out (a/u)"
حكومة	"Government, administration (not إدارة، نظام)"
بيت	"House, family, verse (not منزل or دار)"
دون	"Without, under, below (not بلا)"
*** 106 - 120 (/course/66669/1-5000-arabic-frequency-audio/8/)	
سياسيّ	"Political, politician"
فلسطينيّ	Palestinian
ثمّ	"Then, afterwards; besides, furthermore"
جاء	to come (not أتى)
قلب	"Heart, center, essence"
ألف	Thousand
اللي	"(Dia.) rel.pron. That, which, who, whoever, whichever"
راح	"(Dia) to go (not ذهب), is going to do sth (with imperf.)"
ناس	"People, humans"
طريق	"Road, course, way (not سبيل); method"
أرض	"Earth, ground, land, territory"
سبب	"Cause, reason for"
شركة	"Company, corporation"
عدد	"Number, quantity (not عدة)"
صورة	"Picture, image, photo"
*** 121 - 135 (/course/66669/1-5000-arabic-frequency-audio/9/)	
دولي	"International, world, global (not عالميّ)"
شعب	"People, nation"
عاد	"to return, go back, repeat"
شاء	"to want, to desire (not رغب , أراد)"
آن	"Time, moment (not وقت, زمن, لحظة or حين)"
أراد	"To want, to desire (not رغب , شاء)"
إنّ	Indeed
أهل	"Family, relatives, folks, people, inhabitants (not أسرة or عائلة)"
تلك	dem.pron. That (fem. sg.)
عين	"Eye, water spring, essence"
الّذين	"rel.pron. Who, whom (masc. pl.)"
شكل	"Form, shape, manner, appearance, look"
عمليّة	"Operation, process"
أمّا	"As for..., as to..., concerning..., regarding..."
خاصّ	"Special, specific, private, personal, exclusive, elite (not شخصي)"
*** 136 - 150 (/course/66669/1-5000-arabic-frequency-audio/10/)	
حول	"Around, about, concerning"
عمل	"to work, to function; to make, prepare  (not شغل)"
عنى	"to mean, imply"
وجد	"to find (active), to exist (passive)"
خير	"Goodness, good, better than (not طيّب or جيّد)"
شو	(Lev) What?
آه	(Dia) Yeah
وطنيّ	"National, nationalistic, nationalist"
مدينة	City
ابن	Son (no kasra - just normal)
أيضًا	"Also, besides, as well (not كما, كذلك)"
طيّب	"Good, nice, delicious, fine, OK  (not جيّد or خير)"
يد	Hand
سـ	Will (future marker)
مشروع	"n. Project, enterprise; adj. Lawful, legal"
*** 151-165 (/course/66669/1-5000-arabic-frequency-audio/11/)	
ثلاثة	Three
صوت	"Voice, sound, vote"
أمام	"Front, front part, in front of"
سمع	"to hear, listen"
نسبة	"Ratio, rate, percentage, figure"
بسّ	"(Dia.) Only, just, however, but, enough"
حال	"Situation, condition, case (not حالة, وضع or ظرف)"
شهر	Month
هنا	Here
بل	"But, rather, in fact (not إنّما)"
برنامج	Program
لن	neg.part. Will not
أمّ	Mother
"إيه، إي"	"(Dia) Yes, OK"
حرب	War
*** 166-180 (/course/66669/1-5000-arabic-frequency-audio/12/)	
عندما	"When, as soon as (not لمّا ,إذا or حين)"
وضع	"Situation, status, condition, laying down, putting, placing (not حالة or حال)"
هم	They
دور	"Round, stage, set, turn, role, part, task, function, floor"
وجه	"Face, front, side, way, manner"
"جدّ، جدّا"	"Seriousness, earnestness, very much"
بدأ	"to start, begin (I)"
كلمة	"Word, remark, speech"
طفل	"Child, infant, boy, baby"
منذ	"Since, ago, starting from"
لدى	"prep. with, by, at, have  (not عند ,بـ or مع)"
لَدَيَّ	I have (لَـ)
عراقيّ	Iraqi
أصبح	"to become, begin, start (not صار)"
مكان	"Place, location, position, role, post"
صار	"to become, happen, begin to (not أصبح)"
*** 181-195 (/course/66669/1-5000-arabic-frequency-audio/13/)	
مشكلة	"Problem, issue (not قضيّة)"
عشرة	"Ten, tens, dozens"
وصل	"to arrive, connect, link, join (not بلغ)"
إسلاميّ	Islamic
ساعة	"Hour, time, o'clock, clock, watch"
شيخ	"Sheikh, leader, old man, senator"
أكّد	"to confirm, emphasize"
سلام	"Peace, greeting, salute (not تحية)"
سيّد	"Sir, Mr, lord, master, boss"
صاحب	"Owner, possesor, friend, companion"
عدم	"Absence of, lack of, non-, not"
ها	"Look!, here"
حركة	"Movement, motion activity, political movement (not نشاط)"
ربّ	"Lord (God), lord, master,"
أكبر	"Larger, largest, greater, greatest, senior, important"
*** 196-210 (/course/66669/1-5000-arabic-frequency-audio/14/)	
كتاب	Book
حدّ	"Limit, extent, edge, border, range, scope"
أخذ	"to take, begin"
نظام	"System, regime, government, orderliness (not حكومة)"
ذات	"Essence, ego, self, same, -self (not نفس)"
نعم	Yes
قضيّة	"Problem, issue, lawsuit, legal case, proposition (not مشكلة)"
"ماضٍ، الماضي"	"Past, previous"
إنسان	Human being (not شخص)
حالة	"State, condition, situation, case, instance (not حال, ظرف، وضع)"
أخير	"Last, latest, recent, the latter (not آخر)"
رغم	"In spite of, despite"
جانب	"Side, aspect, part (not جهة or طرف or ناحية)"
حبّ	"Love, affection"
جامعة	"University, league"
*** 211-225 (/course/66669/1-5000-arabic-frequency-audio/15/)	
قرار	"Decision, resolution"
لبنانيّ	Lebanese
لقد	Have already (not قد)
زال	to cease
رأس	Head
تحت	"Under, below, bottom part"
وزارة	Ministry
هدف	"Goal, target, intention, objective"
علاقة	"Relation, link, tie, connection (not صلة)"
"شكرًا، شكر"	"Thanks, thank you; thankfulness"
متّحد	United
مجتمع	Society  (not نادي or جمعية)
مركز	Center (not وسط)
حكى	"to tell, relate, report"
نتيجة	"Result, outcome, consequence"
*** 226-240 (/course/66669/1-5000-arabic-frequency-audio/16/)	
أخت	Sister
رأي	"Opinion, view, idea (not نظرة, رؤية، نظر or فكرة)"
إدارة	"Administration, management, office, directorate"
مسلم	Muslim
صغير	"Small, young"
ما	"interrog. What, which"
قانون	"Law, statutes, regulations"
إسرائيليّ	Israeli
بما	"With what, with which"
استطاع	"to be able, can (not قدر)"
ماء	Water
أمس	Yesterday
أمن	"Safety, security, protection, order (not حماية، سلامة، أمان)"
مش	(Egy.Lev.Gul.) Not
قدّم	"to offer, present, submit, apply"
*** 241-255 (/course/66669/1-5000-arabic-frequency-audio/17/)	
شخص	"Person, individual (not فرد)"
كلام	"Speech, talk, statement, remark, saying, quote (not قول, حديث)"
موقع	"Position, location, site, website (not موقف)"
"مئة، مائة"	Hundred
حين	"When; (مضاف) time of (not إذا, عندما or لمّا, متى)"
داخل	"Interior, inside, entering"
وحدة	"Unity, solitude, loneliness, portion, section, unit, item"
أمّة	"Nation, people, community, Islamic community"
مهمّ	"Important, serious, main thing"
مليون	Million
سيّارة	"Car, automobile, vehicle"
بنت	"Daughter, girl"
دكتور	Doctor (not طبيب)
فعل	"Action, act, deed, doing"
حلو	"Sweet, nice, pleasant"
*** 256-270 (/course/66669/1-5000-arabic-frequency-audio/18/)	
فريق	"Team, group, band, party, faction"
بقي	"to remain, stay, last, continue doing (not ظل)"
لجنة	"Committee, council, commission (not مجلس)"
مختلف	"Different, various, in disagreement"
وجب	to be necessary
نظر	"n. View, look, glance, opinion, looking (not نظرة، فكرة، رؤية، رأي )"
مجال	"Area, space, field, domain"
فترة	"Time period, phase, interval (not مدة or مدى or وقت)"
شبّ	"Young man, youth (not شاب)"
شأن	"Matter, affair, case, situation, condition (not أمر or خصوص)"
ذكر	"to mention, remember"
سؤال	"Question, inquiry"
وجود	"Existence, being"
حلّ	"Solution, solving, cancellation, dissolution"
طالب	"Student, person seeking"
*** 271-285 (/course/66669/1-5000-arabic-frequency-audio/19/)	
مستوى	"Level, standard"
و	"By (oath), I swear"
أم	Or (in questions) (not أو)
فقط	"Only, just, solely (not وحيد)"
ماذا	What? (with verb)
ولاية	"Mandate, term, state, province"
قد	"May, might (with imperf.)"
عضو	"Member, associate, organ, limb"
حتّى	"In order to, so that (+ subjunctive) (not لِـ or كي)"
"ع، عـ"	(Dia.) On
عمر	"Age, life, lifetime"
شاف	"(Dia.) to see, look at (not رأى)"
"دائم، دائمًا"	"Lasting, enduring, permanent, constant, always"
سابق	"Former, previous, preceding (-س-)"
خبر	"News, report, predicate"
*** 286-300 (/course/66669/1-5000-arabic-frequency-audio/20/)	
تاريخ	"Date, history"
دراسة	"n. Study, research, examination (not بحث)"
موقف	"Position, stance (not موقع)"
حزب	Political party
مؤسّسة	"Foundation, organization, institution (not أساس)"
أضاف	to add (sth)
قطاع	"Sector, section"
مجموعة	"Collection, group, squad, bloc"
سلّم	"to turn over, surrender; to greet, give regards to"
سوق	Market
حمد	"n. Praise, commendation"
دخل	to enter
باب	"Door, category, section, chapter"
ممّا	From what (literal); which;  a fact that (not التي or الذي)
أجل	(مضاف) (for the) sake (of) (not لِ)
*** 301-315 (/course/66669/1-5000-arabic-frequency-audio/21/)	
اتّحاد	"Unification, unifiying"
تحقيق	"Achievement, realization, investigation, verification"
مدرسة	School
جميل	"Beautiful, fine"
نوع	"Type, kind, form"
طلع	"to appear, emerge, rise, to go out, come out, get out"
خدمة	"Service, assistance, aid (not نصر)"
عالميّ	"International, global, worldwide (not دولي)"
فيما	"While, meanwhile (not بينما، حينما)"
حاليّ	"Present, current"
حكم	"Rule, government, judgment, decision, verdict"
أشار	"to indicate, mention, cite, to refer"
جهة	"Side, direction, part, party, sector, institution, entity (not جانب, ناحية or طرف)"
نحو	"Towards, approximately"
فيه	"(Dia.) There is, there are"
*** 316-330 (/course/66669/1-5000-arabic-frequency-audio/22/)	
طويل	"Long, tall"
كذلك	"Likewise, also (not كما  أيضا)"
كأنّ	As if
حاول	"to attempt, to try to"
قول	"Statement, remark, saying, utterance (not كلام)"
مرأة	"Woman, wife"
حقيقة	"Reality, fact, truth (not حق)"
جعل	"to make to, cause to, begin to, appoint"
لمّا	"When, after (not إذا, عندما or حين)"
سأل	to ask
عاش	"to live, be alive; to experience"
مواطن	Citizen
سلطة	"Ruling power, rule, authority"
بدا	"to appear, seem (not ظهر)"
خمسة	Five
*** 331-345 (/course/66669/1-5000-arabic-frequency-audio/23/)	
اقتصاديّ	Economic
بحث	"n. Search, research, examination, discussion (not دراسة)"
دين	Religion
حمل	"to carry, bear, transport, to become pregnant"
عسكريّ	"Military, army, soldier (not جندي)"
كم	How many? How much?
جيش	"Army, armed troops, troops (not جند or عسكر)"
جهاز	"Device, machine, appliance, organization, agency, bureau, office (not وسيلة)"
مشاركة	"Participation, association"
طبع	"Nature, character (not طبيعة)"
اعتبر	"to consider, to regard, believe (not اعتقد)"
أحبّ	"to love, like, want (not حب)"
أتى	"to come, bring (not جاء)"
بدّ	"(Lev.) to wish, want, need"
خرج	"to exit, go out"
*** 346-360 (/course/66669/1-5000-arabic-frequency-audio/24/)	
أعطى	"to give, provide"
حبيب 	"Beloved, dear, sweetheart, darling (not عزيز)"
فوق	"Top, upper part; above, over"
خارج	"Outside, outer part, exterior"
مثل	"Example, proverb"
رقم	"Number, numeral, figure, rate, record"
ضدّ	Opposite; against (not عكس)
جرى	"to run, to flow, to occur, take place, happen"
مسؤول	"Official, functionary, employer, boss, supervisor, responsible, dependable"
بعيد	"Distant, far, remote"
أربعة	Four
كتب	to write
حين	"Time, moment, opportunity (not آن , زمن, لحظة or وقت)"
وضع	"to put, place, to lay down, give birth, to write, compile, to draft, compose"
نائب	"Deputy, delegate, vice-"
*** 361-375 (/course/66669/1-5000-arabic-frequency-audio/25/)	
خاصّة	"Elite, upper class; especially, particularly"
ولد	"Child, son, boy (not طفل)"
دم	Blood
صحيح	"True, correct, sound, healthy, authentic (not صح)"
إسلام	Islam
مرحلة	"Phase, stage, step (not خطوة)"
ثالث	Third
اجتماعيّ	Social
حديث	"Discussion, conversation, story, interview, Hadith"
سياسة	"Politics, policy"
طرف	"Edge, side, tip, end, extremity, participant, player, party, team (not جانب or جهة)"
أ	Part. interrog. ? (not هل)
وطن	"Nation, homeland"
ربّما	"Perhaps, maybe (not لَعَلَّ, ممكن)"
لماذا	interrog. Why ?
*** 376-390 (/course/66669/1-5000-arabic-frequency-audio/26/)	
قليل	"Few, small amount, a little, briefly, shortly"
علم	"to know, find out (not عرف or درى)"
حتّى	"even, including, even though"
مدير	"Director, manager"
نهاية	"n. End, finish (noun)"
مصريّ	Egyptian
إضافة	Addition (not مزيد or زيادة)
واقع	"Reality, fact, actual situation, falling, occurring, located, found, situated"
كامل	"Complete, full, integral, perfect (not تمام)"
عبر	"Across, over, via, through (not خلال)"
شرق	"East, eastward"
ظلّ	"to stay, remain, to continue to be, keep on (not بقي)"
تعليم	"Education, teaching, instruction, guideline, precept"
روح	Spirit
أفضل	"Better, best (not  أحسن)"
*** 391-405 (/course/66669/1-5000-arabic-frequency-audio/27/)	
مال	"Money, capital"
ليل	"Night, night-time (not ليلة)"
أسبوع	Week
مؤتمر	"Conference, congress, convention"
لقاء	meeting / encounter / interview (not مقابلة)
ردّ	"to answer, respond, return"
"كي، لكي"	"In order to, so that (not حتّى or لِـ)"
صديق	Friend
دولار	Dollar
بناء	"Building, edifice, constructing (inf)"
طريقة	"Method, procedure, way"
أعلى	"Higher, highest, advanced, superior"
ممكن	Possible
دعم	"Support, assistance, bolstering, promotion (not تأييد)"
إيه	(Egy.) what
*** 406-420 (/course/66669/1-5000-arabic-frequency-audio/28/)	
وين	(Lev.) interrog. Where  ?
مصدر	Source (not أصل)
حدث	"to happen, occur, take place (not حصل, صار، وقع)"
لحظة	"moment, instant (not آن , زمن, حين or وقت)"
فرصة	"Chance, opportunity (not مناسبة)"
نادي	"Club, association (not جمعيّة)"
معلومة	"Information, data (not إعلام)"
هيئة	"Agency, organization; appearance, look"
قصّة	"Story, tale (not حكاية)"
بداية	"Beginning, start, starting point (not بدء)"
جنوب	"n. South, southern part"
درى	"to know, be aware (not علم or عرف)"
دعا	"vn. Call, invite"
مباراة	"Game, match, competition"
تعالى	"to be exalted (God),to ascend, to be sublime"
*** 421-435 (/course/66669/1-5000-arabic-frequency-audio/29/)	
إذ	"As, since, seeing that, when (not إذا, عندما)"
اعتقد	to believe  (not اعتبر or أمن)
"حسب، بحسب"	according to (not بِمُوجِب or وفق)
دقيقة	Minute
ملك	King
أعلن	"to announce, declare, proclaim (عن) sth (أَنَّ) that"
قيمة	"n. Value, worth, importance, morals, ethics"
لاعب	"Player, athlete"
أدّى	"to lead (إلى to), cause, produce; perform, carry out; lead, guide"
مادّة	"Substance, material, matter, subject, course"
خطّ	"Line, phone line, airline"
عرض	"n. Show, display, offer, tender, width, breadth"
رسالة	"Letter, message, communication, dissertation, thesis"
انتخاب	"Election, selection"
هؤلاء	dem.pron. These
*** 436-450 (/course/66669/1-5000-arabic-frequency-audio/30/)	
معنىً	"meaning, sense, significance, concept, nuance"
نقطة	"Point, dot, location, position"
قويّ	"Strong, powerful, great"
حوار	"Dialogue, discussion, conversation, talk"
ردّ	"n. Response, reply (not إجابة ; not جواب)"
لغة	Language
لِـ	"In order to, so that (not حتّى or كي)"
بلغ	"to reach, to arrive at, to attain, come to (not وصل)"
سعر	"Price, cost, rate"
حصل	"to get, obtain, to acquire sth"
أقلّ	"less, least, smaller, smallest, lower, lowest"
قلّ	to be less
تمام	"Exact, complete, good, fine (not كامل)"
صباح	Morning
موجود	"adj. present, existing, found, located"
*** 451-465 (/course/66669/1-5000-arabic-frequency-audio/31/)	
تمنّى	to wish (V)
مرض	"Illness, disease"
تحدّث	to speak (not تكلم)
أهمّ	"More important, most important"
بدّ	"Avoidance, escape (not تجنب)"
فعل	to do
طلب	"to request, ask, to apply for, to order, seek, look for"
صحّة	"Health, wellness, authenticity"
وقع	"to fall down, take place, to be located"
سوف	"(Future part.) will, shall"
أين	interrog. Where ?
لازم	"Necessary, required, needed, must, should (not واجب, ضروري)"
تعاون	vn. Cooperation
زوج	"Spouse, husband"
لذلك	Therefore (not إذنو إذاً)
*** 466-480 (/course/66669/1-5000-arabic-frequency-audio/32/)	
تالٍ	"Following, subsequent (not قادم or مقبل)"
شارع	Street
نار	n. Fire
عديد	"Large number, large quantity, numerous, many (not كثير)"
صلّى	"to pray, worship, to say a prayer"
فكرة	"Idea, concept, notion"
ترك	"to leave, quit, to abandon"
درجة	Degree; level
آخر	"Last, final, concluding (not أخير)"
اجتماع	"society, meeting, gathering, (not لقاء, مجتمع)"
قريب	"Near, close, related"
وسط	"Middle, center, environment, amid, among, in the middle of (not مركز)"
نظر	"to look, examine"
سعوديّ	Saudi
واضح	"adj. Clear, explicit, obvious, visible"
*** 481-495 (/course/66669/1-5000-arabic-frequency-audio/33/)	
موت	Death
خصوص	"Matter, issue, (in this) regard, (in this) respect (not أمر or شأن or مسألة)"
إنّما	"But; yet, however; rather, on the contrary (not بل)"
مصلحة	"Interest, advantage, favor, department, agency (not اهتمام)"
أساس	"Foundation, base, basis, principle (not مؤسّسة)"
صحيفة	Newspaper (not جريدة)
وقف	"to stop, cease, stand, to rise"
جيّد	"Good, well  (not طيّب or تمام خير)"
ذهب	"to go, leave, to depart (not راح)"
زيارة	"Visiting, visit"
رائع	"Fantastic, amazing, marvelous, magnificent, awesome"
إجراء	"vn. Conducting, carrying out, undertaking, procedure, process, step, measure, move, action (not تنفيذ) (not قيام)"
اتّصال	"vn. Contact, communication, connection, relation, relationship"
دنيا	World (not عالم)
حبّ	"to love, like, to want (not أحب)"
*** 496-510 (/course/66669/1-5000-arabic-frequency-audio/34/)	
زوجة	Wife
تنفيذ	"Execution, implementation, carrying out (not إجراء)"
لون	"Color, tint"
قديم	"Old, ancient, veterans"
قادم	"Next, following, future, arriving, coming, proceeding (not مقبل، آتٍ or تال)"
كرة	"Ball, globe, sphere"
زاد	"to grow, increase, to exceed, to go beyond"
عدّة	"n. (مضاف) a number of; adjective: several, numerous (not عديد or كثير or عدد)"
عودة	"vn. Return, going back, return trip"
عالٍ	"High, elevated (not مرتفع)"
سوى	"neg.part. other than, except for (not غير / آخر/ إلا)"
بحر	Sea
شعر	"to feel; be aware (not ّأحسّ ، حس)"
تقرير	"vn. Report, account"
مرّ	"to pass by, to go by (not مضى)"
*** 511-525 (/course/66669/1-5000-arabic-frequency-audio/35/)	
نساء	women
فَتح	"to open sth; to open, start (a business); to turn on (lights, radio,TV); to conquer (city, land)"
شهد	"to witness, observe, see sth/sb; to testify, bear witness"
سلاح	weapon; branch of the armed forces
علم	"vn. knowing; n. knowledge, information (not related to عرف or درى)"
إعادة	"vn. repeating, doing sth again; returning, giving sth back"
عم	"(Lev.) part. (with imperfect., to indicate present continuous)"
ليلة	"night, evening (not ليل مساء)"
ثقافَة	"culture, civilization (not حضارة)"
داخليّ	internal; domestic
منظَّمة	organization
فكر	"thinking, thought; idea, concept, notion"
رسول	"messenger (Muhammad); messenger, apostle"
جزء	"part, section, piece; portion, fraction (not قسم or قطاع)"
انتهى	"to end, finish, to conclude sth (not تم) (VIII)"
*** 526-540 (/course/66669/1-5000-arabic-frequency-audio/36/)	
غريب	strange
غرفَة	"room, chamber"
مرور	vn. passing (of time); going through; passing by; stopping by (to visit); n. traffic
حرّيّة	freedom
هكذا	"like this, this way, thus (not كذا، هيك)"
سلم	to be safe; to be faultless
هيك	"(Lev.Irq.) like this, like that, thus (not كذا، هكذا)"
زِيادة	"increase, rise, growth; addition, supplement (not إضافة or مزيد)"
قائد	"leader, commander"
وسيلة	"device, instrument, medium, means (not جهاز، آلة، أداة)"
نقل	"transportation, transfer; transmission, relaying (of news)"
حقيقيّ	"true, real, factual, authentic"
احْتاج	"to need, want sth/sb"
مستقبل	n. future
محكمة	"court, tribunal"
*** 541-555 (/course/66669/1-5000-arabic-frequency-audio/37/)	
قيادة	"leadership, command; driving (a vehicle), piloting (an aircraft)"
دفاع	"defense (military, legal, sports); protection"
سبيل	"way, road; means (not طريق)"
"أنتي , إنتي"	(Dia.) you  (fem.sg.)
علميّ	"scientific, scholarly, academic"
بينما	while (not فيما)
أصل	"source, origin; descent, lineage; original, master copy (not مصدر)"
علم	"science, the study of"
أمنيّ	"adj. safety, security, protection"
منزل	"house, residence (not  بيت or دار)"
زمن	"time, period, duration  (not آن ,وقت or حين)"
بيان	"statement, declaration; bulletin, communiqué; (press) release"
غربيّ	adj.Western; n. Westerner; prep. west of
أثر	"n. record, trace; sign, mark; effect, influence"
ضرورة	"necessity, need (not حاجة)"
*** 556-570 (/course/66669/1-5000-arabic-frequency-audio/38/)	
كريم	"noble, distinguished; decent, dignified; generous, magnanimous; dear, precious"
أساسيّ	"basic, fundamental"
ورقة	paper; leaf; card (not صفحة)
والد	father (not أب)
جمعيّة	"n. association, society (not نادي or مجتمع)"
رسميّ	"official, formal"
"أستاذ , أستاذة"	"professor, teacher; (title) Prof, Mr"
احتلال	"occupation (of land or property); filling (a post, a position)"
"أبيض , بيضاء"	white
مكتب	"office, bureau, department"
منتدى	"assembly room, gathering place; (Internet) forum"
مقاومة	"resistance, opposition (not معارضة)"
شعر	poetry
محلّيّ	adj. local
عظيم	"great, mighty, powerful"
*** 571-585 (/course/66669/1-5000-arabic-frequency-audio/39/)	
إعلام	"n. information, media; vn. informing, notifying (not معلومة)"
فرنسيّ	French
فيلم	"film, movie"
طبيعيّ	"natural, normal (not عادي)"
طلب	n. request; demand; application; (purchase) order
شابّ	"n. young man; adj. youthful, fresh (not شب)"
وراء	"behind, past, beyond"
سوريّ	Syrian
وحد	"alone, by itself/ himself/ herself; only it/he/she"
فهم	to understand sth/sb or في sth or أَنّ that; (Dia.) to understand على sb
بلا	without (not دون)
دعوة	n. call; invitation; propaganda
خطوة	"step, stride; measure (not مرحلة)"
أبد	"eternity, forever"
تقديم	"vn. offering, presenting, submitting"
*** 586-600 (/course/66669/1-5000-arabic-frequency-audio/40/)	
مدى	"range, extent, reach; time period, duration (not مدة or فترة)"
تجربة	"experiment, test; experience, encounter; trial, ordeal"
وحيد	"only, sole, exclusive; alone (not فقط)"
أمير	"prince, commander; (title) Emir, Prince"
مدّة	"time period, length of time, interval (not فترة or مدى)"
ستّة	six
تغيير	"change, modification; replacement, switch"
مات	"to die, pass away; (Lev.) to love في sth/sb to death"
دار	"house, home, abode; family, household  (not منزل or بيت)"
دخول	"vn. entering, entrance"
أهمّيّة	"importance, significance (أ)"
صعب	"difficult, hard"
مقبل	"next, coming, approaching, nearing (not قادم or تال)"
حدث	"event, incident"
دورة	"n. (sports) championship, tournament; cycle, turn, rotation, lap; circulation; round (elections); session (meeting); tour, patrol; (school) course, class"
*** 601-615 (/course/66669/1-5000-arabic-frequency-audio/41/)	
نشاط	"activity, movement, action (not حركة)"
ضمن	"prep. within, inside; among"
أوروبيّ	European
فنّيّ	adj. artistic; technical; n. technician
أوضح	"to clarify, explain (ل to sb) أَنَّ that"
قدرة	"capacity, ability, potential, power (not طاقة)"
نصف	"half, middle, semi-"
صراحة	"sincerity, candor, frankness"
جماعة	"group, party; gang"
معرفة	"vn. knowing sth/sb; meeting sb, becoming acquainted with sb"
ظهر	to appear; seem as if (not بدا)
مواجهة	"facing, confronting, encountering; confrontation, encounter"
رجع	"to return, go back, come back to; to be traced back to; to reverse عن (one's decision); to go back (بِكَلامِهِ on one's word) -- NOT عاد"
إيّا	to/of (part. with object pron.)
عشرون	twenty; twentieth
*** 616-630 (/course/66669/1-5000-arabic-frequency-audio/42/)	
بطولة	"heroism; starring role;  championship, tournament"
نجاح	success
شرطة	police
لعب	"to play (game, role)"
تنمية	"development, growth (not تطوير); progress (not تقدّم) (notنمو) (not تطور)"
حاجة	"n. need, want (for what one lacks) (not ضرورة); desire, wish (not أمل or رغبة); objective, purpose, goal"
فكّر	"to think ب/في about sth/sb; to consider في أَنْ doing sth; to think, believe أَنَّ that"
تطوير	"development, advancement; promotion, encouragement (not تنمية, تطور)"
شمال	n. north; adj. northern
بنك	bank (financial institution)(not مصرف)
فرد	"individual, person (not شخص)"
قدم	foot (also as a unit of measure)
عامل	"n. employee (not موظف) pl1: staff, workforce, personal, pl2: worker, laborer, operators, regent"
ثقافيّ	"cultural, intellectual, educational"
قاعدة	"rule, principal, basis; (military) base"
*** 631-645 (/course/66669/1-5000-arabic-frequency-audio/43/)	
عاديّ	"regular, normal; ordinary (not طبيعي)"
أكيد	"sure, certain, definite (not متأكد، مؤكد)"
سواء	"except, whether (or not), regardless, either (or); n. equality"
يوميّ	adj. daily
