*** 1 - 10 (/course/195614/spanish-nouns-5/1/)	
"el braquiópodo, el branquiópodo"	branchiopod
el bautisterio	"baptistry, baptistery"
el becuadro	natural
*** 111 - 120 (/course/195614/spanish-nouns-5/12/)	
el bimestre	"two-month period, period of two months"
la brucita	brucite
el bulero	churchman
el canopo	canopic
la carcacha	"wreck, heap, junker"
el castañazo	Slap
el cerebrito	brainiac
(el)(la) cheroqui	Cherokee
la chocolatera	chocolate pot
el circón	zircon
*** 121 - 130 (/course/195614/spanish-nouns-5/13/)	
la cohibición	self-consciousness
el colirrojo	redstart
el costillaje	ribbing
la criogenia	cryogenics
el cromatógrafo	chromatograph
el decolorante	bleach
la desvalida	helpless
la dextrosa	dextrose
la electroterapia	electropathy
la elefanta	female elephant
*** 131 - 140 (/course/195614/spanish-nouns-5/14/)	
la embrolla	muddled
la emisaria	emissary
la entresaca	thinning
el eretismo	erethism
el escurridor	"wringer, colander, drainer"
el estañado	tinned
la estivación	aestivation
el eucarionte	eukaryote
la fachenda	"splurge, swank"
el filtraje	filtering
*** 141 - 150 (/course/195614/spanish-nouns-5/15/)	
la fosforita	phosphorite
la fotolitografía	"photolithography, photolithograph"
el gallero	cockfighting enthusiast
el granel	heap of corn
la guarnicionería	saddlery
la hipersomnia	hypersomnia
la hipotonía	hypotonia
la horterada	tacky
el husmeo	"nosiness, sniff, smell"
la incrédula	incredulous
*** 151 - 160 (/course/195614/spanish-nouns-5/16/)	
el infamador	slanderer
el leonero	lion man
la licra	lycra
la liña	handline
el lisol	Lysol
(el)(la) logopeda	speech therapist
el macadán	macadam
la marmosa	Marmosa
la micorriza	mycorrhizal
el mixedema	myxedema
*** 161 - 170 (/course/195614/spanish-nouns-5/17/)	
la nevisca	"light snowfall, flurry of snow"
(el)(la) oculista	"optician, ophthalmologist"
el paleozoico	"paleozoic, palaeozoic"
la patrocinadora	patroness
el planchado	"rolling, ironing"
la preceptora	preceptor
la puridad	"forgetfulness, liquid, dainty"
el queche	"ketch, smack"
la radiotelegrafía	"radiotelegraph, radiotelegraphy"
la rala	sparse
*** 171 - 180 (/course/195614/spanish-nouns-5/18/)	
la raquítica	rickety
(el)(la) rastafari	Rastafarian
la reconciliadora	reconciling
el redoblamiento	redoubling
la salsera	"sauceboat, boat"
la sanitaria	toilet
la saponina	saponin
la sembradura	seeding
el serpenteo	wriggle
la sinterización	sintering
*** 181 - 190 (/course/195614/spanish-nouns-5/19/)	
el soroche	"mountain sickness, altitude sickness"
el tallarín	noodle
el tembleque	"shaking fit, the shakes"
el termalismo	Hydrotherapy
la termoelectricidad	thermoelectricity
el tocólogo	obstetrician
el tomógrafo	tomograph
el torpor	torpor
el trépano	trepan
el triquitraque	firecracker
*** 191 - 200 (/course/195614/spanish-nouns-5/20/)	
el utrículo	utricle
el vertedor	"chute, spillway, outlet"
el verticalismo	verticalism
(el)(la) purista	purist
el marinerito	sailor
el chorlo	great-great-grandchild
los santiagueros	faith healer
el pellico	sheepskin
la bodeguera	winemaking
la partidaria	"supporter, follower"
*** 201 - 210 (/course/195614/spanish-nouns-5/21/)	
la cárcava	channel
(el)(la) almeriense	Almeria
el aniquilador	annihilator
el antiácido	antacid
el asmático	asthmatic
el baniano	banyan
la encamada	bedridden
el regüeldo	belch
la benedictina	Benedictine
la narizota	big nose
*** 211 - 220 (/course/195614/spanish-nouns-5/22/)	
el cisticerco	bladder worm
la caléndula	"calendula, marigold, common marigold"
el cartujo	Carthusian
el hervido	"casserole, stew"
la fletada	chartered
el pelón	"child, baby"
la regleta	"circuit board, surge protector, multiple connector"
el trepador	"climber, nuthatch, climbing iron"
la coladera	"colander, strainer, sieve"
los colémbolos	Collembola
*** 221 - 230 (/course/195614/spanish-nouns-5/23/)	
la cosechadora	combine harvester
el preservador	condom
los consanguíneos	consanguineous
el culpado	"culprit, accused"
el disruptor	cutout
la cicloide	cycloid
la danzarina	dancing
el sordo	"deaf person, hearing impaired person"
el beodo	"drunk, sot, drunkard"
el madrugador	"early bird, riser, early riser"
*** 231 - 240 (/course/195614/spanish-nouns-5/24/)	
el efector	effector
los expropiadores	expropiators
la loseta	floor tile
la estribera	footrest
el chismoso	"gossip, gossiping, gossipmonger"
el girocompás	Gyro
el habitador	habitation
la novatada	"hazing, practical joke"
la hipodermis	hypodermis
el interno	"internal, intern, inmate"
*** 241 - 250 (/course/195614/spanish-nouns-5/25/)	
(el)(la) israelí	Israeli
el ropavejero	junkman
el pololo	"knickerbockers, traditional knickers, boyfriend"
el cojo	"lame person, one-legged person"
el lapita	Lapita
el lavandero	laundryman
las ponedoras	laying
la leguminosa	leguminous plant
los salones	"lounge, salon, sitting room"
la lujuriosa	lusty
*** 251 - 260 (/course/195614/spanish-nouns-5/26/)	
el macero	mace-bearer
la manchega	Manchego
la melcocha	marshmallow
el meteco	metic
el cambiador	"moneychanger, editor, investor"
la botarga	motley
el neoplatónico	Neoplatonist
la novelería	novelty
la filis	Phillies
el conuco	"plot, land"
*** 261 - 270 (/course/195614/spanish-nouns-5/27/)	
el procreador	procreator
el sicoanálisis	psychoanalysis
los quiteños	Quito
(el)(la) reservista	reservist
la rasgadura	ripping
el salesiano	salesian
el samoano	Samoan
el tomamuestras	sampler
el ahorrador	saver
los escantillones	scantlings
*** 271 - 280 (/course/195614/spanish-nouns-5/28/)	
el malandrín	scoundrel
los imbornales	scuppers
la marisquería	seafood restaurant
la secuoya	sequoia
(los)(las) chabolistas	shanty
el vertimiento	shedding
los siameses	Siamese
el signatario	signatory
los ambages	"spin, embellishment, detour"
la chillona	squeaky
*** 281 - 290 (/course/195614/spanish-nouns-5/29/)	
el troncho	stalk
los estratificados	stratified
(el)(la) sibarita	"sybarite, epicure"
el sindicado	Syndicate
los tabulados	tabulated
el informático	"tech, IT guy, programmer"
los terápsidos	therapsids
la afta	"thrush, aphtha"
el morrón	thump
los tonsurados	tonsured
*** 291 - 300 (/course/195614/spanish-nouns-5/30/)	
(el)(la) troglodita	"troglodyte, cave dweller"
el ucase	ukase
(el)(la) vietcong	Vietcong
el trapito	washcloth
el crayón	"wax crayon, crayon"
el zurriago	whip
el chochín	wren
(el)(la) yuppie	yuppie
la arrulladora	lulling
la bretona	from Breton
*** 301 - 310 (/course/195614/spanish-nouns-5/31/)	
el cazabe	cassava
la charra	horseman
el ductor	conductor
la confitera	confectioner
la geóloga	geologist
la hiladora	spinner
la ilustradora	illustrator
la instaladora	installer
la jactanciosa	"boaster, braggart"
la lexicógrafa	lexicographer
*** 311 - 320 (/course/195614/spanish-nouns-5/32/)	
el halagador	flatterer
la marisquera	shellfish
la lora	parrot
la pensadora	thinker
la riojana	Rioja
la salmantina	from Salamanca
la simuladora	"simulator, pretender"
el tifo	typhus
los arroceros	gate crasher
el arrullador	lulling
*** 321 - 330 (/course/195614/spanish-nouns-5/33/)	
el tojo	gorse
los centroeuropeos	Central European
el chicano	Chicano
el congoleño	Congolese
el desheredado	disinherited
el asolamiento	desolation
la corcova	hump
el multimillonario	multimillionaire
la siquiatría	psychiatry
el acordonamiento	cordon
*** 331 - 340 (/course/195614/spanish-nouns-5/34/)	
el agio	agio
el ajustador	"fitter, adjuster, adjustor"
el almácigo	"copperwood, gumbo-limbo"
la almohaza	currycomb
el anafe	cooktop
la anosmia	anosmia
(el)(la) anticastrista	anti-Castro
el anticatolicismo	Anti-Catholicism
el apacentamiento	grazing
la apostema	aposteme
*** 341 - 350 (/course/195614/spanish-nouns-5/35/)	
el arminianismo	Arminianism
la asistolia	asystole
el atragantamiento	choking
el auditórium	auditorium
la autotomía	autotomy
el ayuste	splicing
la azorada	embarrassed
la balsamina	balsam apple
el barógrafo	barograph
la bigotera	bow compass
*** 351 - 360 (/course/195614/spanish-nouns-5/36/)	
la bisección	bisection
la boyera	cattle shed
la bravuconería	"bluster, bravado"
el broncoscopio	bronchoscope
la buganvilla	bougainvillea
la bureta	"buret, burette"
la cagada	"shit, crap, poop"
el calentón	"randy devil, horny devil"
el camachuelo	bullfinch
la camomila	camomile
*** 361 - 370 (/course/195614/spanish-nouns-5/37/)	
(el)(la) carmesí	"crimson, red silk"
el carretel	reel
el carteo	declarer play
el casón	Cason
la cerusita	cerussite
la cesionaria	assignee
el charloteo	patter
el colín	breadstick
la confortación	comforting
el conservacionismo	conservationism
*** 371 - 380 (/course/195614/spanish-nouns-5/38/)	
el copal	copal
el crepé	"crepe, pancake, crape"
el cuate	"twin, mate, pal"
el culantrillo	maidenhair
la delicadez	delicacy
el desbaratamiento	disruption
el desgaire	carelessly
el desmote	ginning
el doblamiento	bending
el embrujamiento	bewitchment
*** 381 - 390 (/course/195614/spanish-nouns-5/39/)	
(el)(la) endosante	endorser
el entrecot	"fillet steak, entrecôte"
el episcopologio	Episcopologio
el erector	erector
la esfalerita	sphalerite
la espadilla	"swingle, scull"
el esquilmo	Esquiline
(el)(la) estalinista	Stalinist
la estilística	stylistic
la evanescencia	evanescence
*** 391 - 400 (/course/195614/spanish-nouns-5/40/)	
la exoftalmia	exophthalmos
la expurgación	expurgation
el fermio	fermion
la fluoración	fluorination
la fonolita	clinkstone
la fucsina	fuchsin
la galesa	Wales
la gastadora	spender
el gimoteo	"whining, whine"
la gluma	glume
*** 401 - 410 (/course/195614/spanish-nouns-5/41/)	
el goniómetro	goniometer
el grandullón	big guy
la guacamaya	"macaw, candlebush, Christmas candle"
el helechal	bracken
la hemosiderina	hemosiderin
la heterodoxa	heterodox
la incurabilidad	"incurability, intractability"
la instilación	instillation
la insuflación	insufflation
la judaización	Judaization
*** 411 - 420 (/course/195614/spanish-nouns-5/42/)	
el kaón	kaon
el kinetoscopio	Kinetoscope
la lanolina	lanolin
el lechuguino	beau
el lelo	halfwit
la llevanza	keeping
la lota	burbot
el lustrador	Sheen
el magnetrón	magnetron
el margraviato	margravate
*** 421 - 430 (/course/195614/spanish-nouns-5/43/)	
el matusalén	Methuselah
el mielero	honeypot
el miraguano	kapok
la mohatra	Mohatra
la ninfomanía	nymphomania
la normanda	Norman
el odómetro	odometer
el oropimente	orpiment
(el)(la) oscense	Huesca
el palatinado	palatinate
*** 431 - 440 (/course/195614/spanish-nouns-5/44/)	
la paliación	palliation
el parné	dibs
el pedicuro	"chiropodist, pedicure, pedicurist"
la penetrabilidad	penetrability
el perclorato	perchlorate
el pisón	"ram, rammer"
el plastificante	plasticizer
el pódium	podium
la pravedad	depravity
el prenombre	praenomen
*** 441 - 450 (/course/195614/spanish-nouns-5/45/)	
la prevaricadora	prevaricating
la protestación	protestation
el quera	wanted
la recría	rearing
la refrigeradora	"fridge, refrigerator, icebox"
la rematadora	spiker
el romanismo	Romanism
el runruneo	Whirring
(el)(la) sablista	"borrower, cadger, scrounger"
el sanmartín	Sanmartin
*** 451 - 460 (/course/195614/spanish-nouns-5/46/)	
el secreteo	"to talk confidentially, to whisper"
la segueta	hacksaw
el sermoneo	"preaching, lecture"
el setenario	Setenario
el sintetismo	synthetism
la sofistería	sophistry
el solón	solon
el tacógrafo	tachograph
la tectita	tektite
la telequinesia	telekinesis
*** 461 - 470 (/course/195614/spanish-nouns-5/47/)	
la tornería	turnery
el tracoma	trachoma
el trigrama	trigram
el trisagio	trisagion
el versito	rhyme
el videoteléfono	videophone
la zeugma	zeugma
el deslave	"landslide, rockfall"
la bruñida	burnished
el tallador	carver
*** 471 - 480 (/course/195614/spanish-nouns-5/48/)	
la ciénega	marsh
el acechador	observer
la preparadora	"tutor, personal trainer"
el albaricoquero	apricot tree
el amerindio	Amerind
(el)(la) anticomunista	anti-communist
la autoclave	autoclave
la barbeta	barbette
el chicotazo	"blow with a whip, lash from a whip"
los braquiuros	brachyuran
*** 481 - 490 (/course/195614/spanish-nouns-5/49/)	
el guardafrenos	brakeman
el concuñado	brother's brother-in-law
el corneta	"bugle, cornet, horn"
(el)(la) buscapleitos	bullies
el bosquimano	Bushman
el campero	"camper, four by four"
la conservera	canning
el capotazo	Capotazo
la cautivadora	captivating
el carcinógeno	carcinogen
*** 491 - 500 (/course/195614/spanish-nouns-5/50/)	
el cartesiano	Cartesian
el casuario	cassowary
(los)(las) catastrofistas	catastrophic
(el)(la) cavernícola	"caveman, cave dweller, cavewoman"
el madrás	Chennai
el quiróptero	chiropteran
los cimbros	Cimbri
el berberecho	"cockle, common cockle"
el coloide	colloid
el acondicionador	"conditioner, air conditioner"
*** 501 - 510 (/course/195614/spanish-nouns-5/51/)	
la reguladora	"controller, regulator, buffer"
los conventuales	conventual
las contrarréplicas	counterclaims
el retortijón	"cramp, twisting, gripe"
los cristaloides	crystalloid
el apagador	"damper, switch, extinguisher"
el rehilete	dart
los demarcadores	demarcators
la deprecación	deprecation
la dextrina	dextrin
*** 511 - 520 (/course/195614/spanish-nouns-5/52/)	
el friegaplatos	dishwasher
el chupón	"dummy, pacifier, sucker"
el eyector	ejector
la epigénesis	epigenesis
la erótica	erotica
las erupciones	"eruption, rash, outbreak"
la escarpadura	escarpment
el expatriado	expatriate
la peritación	expert opinion
la florecita	floweret
*** 521 - 530 (/course/195614/spanish-nouns-5/53/)	
los pronosticadores	forecasters
el guardamuebles	furniture repository
la acanaladura	groove
los encañonados	gunpoint
las calabazadas	head butts
el hectolitro	"hectoliter, hectolitre"
(el)(la) ilota	helot
el hemotórax	hemothorax
el corvejón	hock
el pundonoroso	honorable
*** 531 - 540 (/course/195614/spanish-nouns-5/54/)	
el penetrador	indenter
el párvulo	"infant, preschooler"
la itálica	italics
el barquinazo	"jolt, tumble"
(los)(las) malabares	juggling
la agujeta	"lace, stiffness"
la lesbiana	"lesbian, dyke"
la dejada	let
los morritos	Lips
(el)(la) lisboeta	Lisbon
*** 541 - 550 (/course/195614/spanish-nouns-5/55/)	
los higadillos	livers
la hacedora	maker
(los)(las) mandingas	Mandingo
la marcadora	marker
(el)(la) merinas	Merino
el mitón	mitten
la chinela	"mule, slipper"
la mutual	mutual society
el cortaúñas	nail clippers
(el)(la) nominalista	nominalist
*** 551 - 560 (/course/195614/spanish-nouns-5/56/)	
el nucleido	nuclide
la necrología	"obituary, necrology"
las ocles	Ocles
el cajetilla	"pack, packet"
(el)(la) palatal	palatal
las filloas	pancakes
el parapsicólogo	parapsychologist
el petrodólar	petrodollar
el picardo	Picard
la trapacería	"piece of gossip, racket, swindle"
*** 561 - 570 (/course/195614/spanish-nouns-5/57/)	
la castigadora	punishing
la pielonefritis	pyelonephritis
el rosquete	queer
(los)(las) quietistas	quietist
la sindicatura	receivership
el recombinado	recombined
los dormideros	roosts
la gomita	rubber band
el rayado	"ruled lines, stripes"
el sacro	sacrum
*** 571 - 580 (/course/195614/spanish-nouns-5/58/)	
las salesianas	Salesian
las ciperáceas	sedges
las autolesiones	self harm
la lentejuela	"sequin, spangle, paillette"
el sestercio	sesterce
el albañal	sewer
la espaldilla	"shoulder, shoulder blade"
el negrero	"slaver, slave driver, exploiter"
los sonómetros	sonometers
el agorero	"soothsayer, fortune teller"
*** 581 - 590 (/course/195614/spanish-nouns-5/59/)	
el espaciador	space bar
la espectadora	spectatress
el especiero	spice rack
la escarpia	"spike, tenterhook"
el garañón	stallion
la encorvada	stooped
los trompicones	stumble
la gansada	stupid thing
la cantada	sung
la sostenedora	sustaining
*** 591 - 600 (/course/195614/spanish-nouns-5/60/)	
la comprimido	"tablet, pill"
(el)(la) tarraconense	Tarragona
(los)(las) trapenses	Trappist
el soldadote	trooper
el cornete	turbinate
el torzal	"twine, twist"
el vándalo	vandal
las vertebrales	vertebral
la trasnochada	"vigil, watch, sleepless night"
el gorgorito	"warble, trill"
*** 601 - 610 (/course/195614/spanish-nouns-5/61/)	
(el)(la) mandria	weakling
el yuyo	"weed, medicinal herb"
el merecedor	worthy
el zepelín	Zeppelin
la aficionada	"amateur, fan, lover"
la mielga	alfalfa
la astróloga	astrologer
la banquera	banker
el pugilismo	boxing
la presidiaria	convict
*** 611 - 620 (/course/195614/spanish-nouns-5/62/)	
la cornuda	cuckold
el glicógeno	glycogen
la granadera	grenadier
el hilador	spinner
la mallorquina	Majorcan
el marisquero	shellfish
la multiplicadora	multiplier
la perceptora	percipient
la sicóloga	psychologist
el roquero	rocker
*** 621 - 630 (/course/195614/spanish-nouns-5/63/)	
la juglaresa	minstrel
la tanzana	Tanzanian
la tunecina	Tunisian
el matricidio	matricide
la pedorreta	raspberry
el aguacil	dragonfly
la paraplejía	paraplegia
el abotagamiento	swelling
la trancada	stride
el abacá	abaca
*** 631 - 640 (/course/195614/spanish-nouns-5/64/)	
el abacero	"grocer, grocery"
el acodo	offset
la acrofobia	acrophobia
la actea	Actea
el adventismo	Adventism
el aforamiento	gauging
la agregaduría	attache
el albumen	albumen
el alfonsismo	Alfonsism
el ambón	ambo
*** 641 - 650 (/course/195614/spanish-nouns-5/65/)	
el amordazamiento	gagging
la androginia	androgyny
la anfotericina	amphotericin
(el)(la) árcade	Arcadian
la asíntota	asymptote
la autoinmunidad	autoimmunity
la bacaladilla	whiting
el balseo	Balseo
el barbote	bevor
el bayón	Bayon
*** 651 - 660 (/course/195614/spanish-nouns-5/66/)	
el belcebú	Beelzebub
el brabante	brabant
el brazado	armful
el bridón	"snaffle, bridoon"
el calcetero	hosier
la cardiomiopatía	cardiomyopathy
el centollo	spider-crab
el centrosoma	centrosome
la chacinería	pork butcher's
la cianocobalamina	cyanocobalamin
*** 661 - 670 (/course/195614/spanish-nouns-5/67/)	
el climatólogo	climatologist
el cloqueo	cluck
la clorita	chlorite
la cordonera	lacing
la deambulación	ambulation
la decidora	talkative
(el)(la) deísta	deist
el delineador	eyeliner
(el)(la) denigrante	grovel
la desafiadora	challenging
*** 671 - 680 (/course/195614/spanish-nouns-5/68/)	
el desmotador	ginner
el dictáfono	dictaphone
la disipadora	dissipative
la disuasoria	deterrent
la dormilona	sleepyhead
el dribling	dribbling
la dulcamara	nightshade
el electrómetro	electrometer
la electromiografía	electromyography
el elevamiento	upliftment
*** 681 - 690 (/course/195614/spanish-nouns-5/69/)	
la empalagosa	cloying
el emulsionante	emulsifier
el enchufismo	"wirepulling, string pulling"
el endocardio	endocardium
el enriquecedor	enriching
el escotismo	Scotism
la escrituración	deed
el espermaceti	spermaceti
el estatalismo	state ownership
la estrona	estrone
*** 691 - 700 (/course/195614/spanish-nouns-5/70/)	
la extravasación	extravasation
la fiadora	surety
la fisostigmina	physostigmine
la fluoresceína	fluorescein
el fulminato	fulminate
el funámbulo	ropewalker
la glosopeda	foot and mouth disease
la graja	rook
la granujilla	rascal
la grifería	"taps, bathroom fittings, tap shop"
*** 701 - 710 (/course/195614/spanish-nouns-5/71/)	
el hampón	thug
la helioterapia	heliotherapy
el holmio	holmium
el huevón	dude
el icor	ichor
la improductividad	unproductive
el íncubo	incubus
el infrasonido	infrasound
el intensificador	intensifier
el intuicionismo	intuitionism
*** 711 - 720 (/course/195614/spanish-nouns-5/72/)	
la jarretera	garter
el jazminero	jasmine
el kiswahili	Kiswahili
la lactación	lactation
la laureada	laureate
el levirato	levirate
el lichi	lychee
la llenura	"fullness, fulness"
el maderaje	woodwork
la magnesita	magnesite
*** 721 - 730 (/course/195614/spanish-nouns-5/73/)	
la mahometana	"Mohammedan, Mahometan"
la manejadora	handler
el marrasquino	maraschino
la megaestrella	megastar
la melosidad	mellow
la micoplasma	mycoplasma
(el)(la) mineralogista	mineralogist
el miñón	mignon
la molinería	milling
el monegasco	Monegasque
*** 731 - 740 (/course/195614/spanish-nouns-5/74/)	
el mordedor	biter
(el)(la) mordiente	mordant
la mufla	muffle
la neuropsiquiatría	neuropsychiatry
el noray	bollard
el origenismo	Origenism
(el)(la) ortodoncista	orthodontist
el ostrero	oyster catcher
(el)(la) ovoide	ovoid
la pacana	pecan
*** 741 - 750 (/course/195614/spanish-nouns-5/75/)	
la paleozoología	paleozoology
la parvedad	paucity
el perdiguero	retriever
el pertiguero	beadle
el petete	dummy
la piezoelectricidad	piezoelectricity
la polidipsia	polydipsia
la polinesia	Polynesia
el poliploide	polyploid
la politóloga	political scientist
*** 751 - 760 (/course/195614/spanish-nouns-5/76/)	
el popularismo	popularism
el posoperatorio	postoperative
la psicastenia	psychasthenia
la raridad	"rarity, rareness, exception"
la redecoración	redecoration
el redescuento	rediscount
el reumatólogo	rheumatologist
la revulsión	revulsion
la riñonera	"fanny pack, belt pouch, bum bag"
la salicina	salicin
*** 761 - 770 (/course/195614/spanish-nouns-5/77/)	
el segundogénito	second born
la siestecita	"catnap, forty winks, snooze"
el soporífero	"soporific, narcotic, sleeping pill"
la taiwanesa	Taiwanese
la tajadera	chopper
el taquillaje	"takings, box-office receipts, gate-money"
el telecomando	telecommand
la tendenciosidad	tendentiousness
la termosfera	thermosphere
la terrina	terrine
*** 771 - 780 (/course/195614/spanish-nouns-5/78/)	
el tocho	"tome, large volume, brick"
(el)(la) trasparente	transparent
la tripita	shag
la trovadora	troubadour
(el)(la) vallista	hurdler
(el)(la) vicegerente	vicegerent
la virgulilla	prime
el vitro	vitro
el voceo	"shouting, yelling, bawling"
el moquete	punch on the nose
*** 781 - 790 (/course/195614/spanish-nouns-5/79/)	
el cristalero	glass cabinet
el ribereño	riverside dweller
la bravuconada	boast
el enfriador	"cooler, cooling plant"
la atarjea	"sewage pipe, drain, reservoir"
el pañero	"draper, dry-goods dealer, clothier"
las paredes	walls
la actinomicosis	actinomycosis
la alosa	alewife
la anquilostomiasis	ankylostomiasis
*** 791 - 800 (/course/195614/spanish-nouns-5/80/)	
el anticlímax	anticlimax
los ausetanos	Ausetani
los misticetos	baleen
el hilván	basting
los hayucos	beech mast
(el)(la) apostante	"bettor, backer"
la bita	bitt
la breca	bleak
la patochada	blunder
el boa	"boa, boa constrictor, feather boa"
*** 801 - 810 (/course/195614/spanish-nouns-5/81/)	
el pesado	bore
el almohadillado	bossage
el abrebotellas	bottle opener
el rompedor	breaker
(el)(la) contrayente	bride and groom
la rebaba	"burr, bur"
las hanegas	bushels
las aclaradas	clarified
la clasificadora	Classification
el garro	claw
*** 811 - 820 (/course/195614/spanish-nouns-5/82/)	
(los)(las) cluniacenses	Cluny
la mamarrachada	cobblers
(el)(la) cenobita	coenobite
(el)(la) conviviente	cohabitant
(los)(las) colosenses	Colossians
(el)(la) cajista	compositor
el coselete	"corselet, corslet"
la repregunta	cross-examination
los daditos	cubes
el decilitro	"deciliter, decilitre"
*** 821 - 830 (/course/195614/spanish-nouns-5/83/)	
el albarán	"delivery note, despatch note"
las melladuras	dents
el dilatador	dilator
el doméstico	"domestic, servant"
las cagarrutas	droppings
el zopenco	"dunce, clot"
(el)(la) elamita	Elamite
(los)(las) iguales	equal
la exorbitancia	"exorbitance, extravagance, exorbitancy"
la medrosa	fearful
*** 831 - 840 (/course/195614/spanish-nouns-5/84/)	
el espantamoscas	fly-swat
el guardamano	fore
el franquiciado	franchisee
la polaina	"gaiter, puttee, leggings"
el gacetero	gazetteer
el gnóstico	Gnostic
la telecabina	gondola
el gránulo	granule
el pulgón	greenfly
el guiador	guider
*** 841 - 850 (/course/195614/spanish-nouns-5/85/)	
el golfillo	"guttersnipe, gamin, monkey"
los cíngaros	gypsies
el hostigador	harasser
el endurecedor	hardener
el helicoide	helicoid
el heleno	Hellene
la arreada	herded
la portañuela	his fly
la holografía	"holography, holograph"
el hidrante	hydrant
*** 851 - 860 (/course/195614/spanish-nouns-5/86/)	
los hidrozoos	hydrozoans
la indirecta	"insinuation, hint"
(los)(las) intervencionistas	interventionist
la chatarrería	junk yard
el lapidario	lapidary
la lugartenencia	lieutenancy
la ventolina	light air
el lanchero	lighterman
la logomaquia	logomachy
(el)(la) machista	male chauvinist
*** 861 - 870 (/course/195614/spanish-nouns-5/87/)	
el imao	MAOIs
(los)(las) maronitas	Maronites
(el)(la) mendicante	mendicant
las anfetas	meth
la microonda	microwave
(el)(la) mini	"mini, litre glass UK, liter glass US"
los molinares	Molinares
las musáceas	Musa
las micenas	mycenae
las capuchinas	nasturtiums
