*** 1 - 25 (/course/66563/koine-greek-3/1/)	
ὁ 	"the, who, which"
καθίζω	"to sit down, set, place; appoint; reside, stay, live"
μή	"not, lest"
μικρός	"small, little"
οὐαί	woe!
σταυρόω	to crucify
ἡ σωτηρία	salvation
ἀπαγγέλλω	"to tell, bring news, report"
διώκω	"to pursue, persecute"
ἡ θλῖψις	"trouble, tribulation, oppression"
ὁ ναός	"temple, shrine; palace"
ὅμοιος	"like, similar"
οὐδέ	"and not, neither, nor, not even"
ἄχρι	(+gen) until
ἔμπροσθεν	"(+gen) before, in front of"
ἔξω	"(+gen) out, outside, outsider"
ἐπιγινώσκω	"to know; look upon, witness; recognize, decide"
ἡ Ἰουδαία	Judea
ὁ Ἰούδας	Judas; Judah; Jew
κατοικέω	"to settle, dwell, inhabit"
μόνος	"only, alone"
ἁμαρτάνω	to sin
*** 351 - 375 (/course/66563/koine-greek-3/15/)	
ἡ γενεά	generation
δέω	"to bind, stop"
διέρχομαι	to pass through
ὁ Ἡρῴδης	Herod
θαυμάζω	"to marvel, wonder"
θεραπεύω	to serve; heal
σεαυτοῦ	of yourself (sg.)
τὸ σπέρμα	"seed, offspring"
φωνέω	"to call, to shout"
ἡ ἀνάστασις	"standing up, rising, insurrection, resurrection"
ἐγγίζω	"to bring near, come near"
ὁ Ἰάκωβος	Jacob; James
καινός	new
λύω	"to loosen, release"
τὸ μέρος	part
πάσχω	to suffer
ἄξιος	worthy
ἐργάζομαι	to work
εὐλογέω	to bless
πάντοτε	always
παρίστημι	"to present, stand by"
σήμερον	today
τέσσαρες	four
ἡ τιμή	honor
ἑτοιμάζω	to prepare
*** 376 - 400 (/course/66563/koine-greek-3/16/)	
ἕως	"until; when, up to, as far as"
κλαίω	"to weep, cry"
λογίζομαι	"to count, think, calculate"
λοιπός	"rest, remaining, other; from now on, finally"
μισέω	to hate
τὸ μνημεῖον	"tomb, monument"
οἰκοδομέω	to build
τὸ τέλος	"end, goal; tribute"
χωρίς	(+gen) without (prep.); separately (adv)
ἅπτω	"to touch, hold, grasp; to light, ignite"
δικαιόω	"to pronounce righteous, justify"
ἐπιτίθημι	"to lay on, place, put, add"
ἡ θύρα	door
ἱκανός	"sufficient, able, worthy"
περισσεύω	to abound
πλανάω	to deceive
πράσσω	"to do, to accomplish"
τὸ πρόβατον	sheep
δεύτερος	second
ἡ ἐπιθυμία	"desire, lust"
εὐχαριστέω	to give thanks
πειράζω	"to tempt, test; try"
πέντε	five
ὑποτάσσω	to subject; to submit
ὁ ἄρχων	ruler
*** 401 - 425 (/course/66563/koine-greek-3/17/)	
βούλομαι	"to will, want"
διάβολος	"enemy, adversary, devil"
διακονέω	"to serve, wait on"
ἐκεῖθεν	from there
ἐμαυτοῦ	"of myself, my own"
καλῶς	well
καυχάομαι	"to boast, glory"
ἡ μαρτυρία	testimony; martyrdom
παραγίνομαι	"to come, to appear"
ὁ ἀγρός	"field, farm, country"
ἄρτι	now
ἐπιστρέφω	"to turn back, return, turn"
εὐθέως	"immediately, at once, suddenly"
ἡ ὀργή	wrath; anger
τὸ οὖς	ear
ἡ περιτομή	circumcision
ἡ προσευχή	prayer
ὁ σατανᾶς	Satan (Heb. adversary)
ὁ Φίλιππος	Philip
ὁ Ἰωσήφ	Joseph
ὁ μάρτυς	witness; martyr
ὀφείλω	to be obligated
ὑποςτρέφω	to return
ἅπας	"all, every"
τὸ βιβλίον	"scroll, papyrus strip"
*** 426 - 450 (/course/66563/koine-greek-3/18/)	
βλασφημέω	"to verbally abuse, blaspheme"
ἡ διακονία	"service, ministry"
τὸ μέλος	"body part; musical part, melody"
μετανοέω	to repent
μήτε	and not;  neither . . . nor
ὁ οἶνος	wine
πτωχός	poor
ἀρνέομαι	to deny
ἀσθενέω	to be weak
ἡ διαθήκη	covenant; testament
ἐκπορεύομαι	"to go, come out"
ναί	yes
ὀλίγος	"little, few"
ποῖος	what kind of?
ἀκάθαρτος	unclean
ἀναγινώσκω	to read
δυνατός	"possible, strong, able"
ἐχθρός	"hostile, enemy"
ὁ ἥλιος	sun
παραγγέλλω	to command
ἡ ὑπομονή	endurance; staying
ὁ ἄνεμος	wind
ἐλπίζω	to hope
ἔξεστιν	"it is right, possible"
ὁ ἱερεύς	priest
*** 451 - 475 (/course/66563/koine-greek-3/19/)	
καθαρίζω	to cleanse
ἡ παρρησία	boldness
τὸ πλῆθος	multitude
τὸ ποτήριον	cup
τὸ σκότος	darkness
φαίνω	"to appear, shine; cause to shine"
φυλάσσω	"to guard, keep"
ἡ φυλή	tribe
ἀγοράζω	to buy
τὸ ἀρνίον	"lamb, small lamb"
δείκνυμι	to show
ἡ διδαχή	teaching
ἐπικαλέω	to call on
ὁμοίως	likewise
ἡ συνείδησις	conscience
συνέρχομαι	to come together; to go together
ἡ γνῶσις	knowledge
ἐπιτιμάω	to rebuke
ὁ Ἠλίας	Elijah
ἰσχυρός	"strong, mighty"
ὁ Καῖσαρ	Caesar
ἡ μάχαιρα	dagger; short-sword
ὁ μισθός	wages; reward
ἡ παράκλησις	encouragement
παρέρχομαι	"to pass by, pass away"
*** 476 - 500 (/course/66563/koine-greek-3/20/)	
τὸ πάσχα	passover; passover lamb
ποτέ	"at some time, once, formerly"
προσκαλέω	"to call, summon"
σκανδαλίζω	to cause someone to sin
φεύγω	to flee
φίλος	"friend, beloved; friendly, dear, pleasant, welcome"
ὥσπερ	"as, just as"
ἁγιάζω	to sanctify
ἀδικέω	to harm
ἀληθινός	"true, genuine"
ὁ Βαρναβᾶς	Barnabas
γαμέω	to marry
ὁ διάκονος	"servant, minister"
ἐλεέω	to show mercy
ἡγέομαι	"to lead, consider, count, regard"
ἡ θυγάτηρ	daughter
ἡ θυσία	sacrifice
ἴδε	look! pay attention!
ἰσχύω	"to be able, be strong"
τὸ μυστήριον	"mystery, secret"
νικάω	to conquer
πλούσιος	rich
προφητεύω	to prophesy
τελέω	"to finish; carry out, perform"
ἡ χώρα	"place, land, country"
*** 501 - 525 (/course/66563/koine-greek-3/21/)	
βαστάζω	to bear
ἐνδύω	"to wear, put on"
ὁ Ἰακώβ	Jacob
καθαρός	pure
καταργέω	"to leave idle, occupy, make of no effect, nullify"
τὸ κρίμα	"judgment, decree, decision"
ἡ κώμη	village
ἡ Μαρία	Mary
ἡ Μαριάμ	Miriam; Mary
πλήν	"(+gen) only, except (prep.); but, nevertheless (conj.)"
πόθεν	from where?
πόσος	"how much, how many?"
ὁ σταυρός	cross
ἡ ἀδελφή	sister
ἀληθής	"true, honest, genuine"
ἀποκαλύπτω	to reveal
ἀσθενής	weak; weakness
γέ	"yet, indeed, surely"
τὸ ἔλεος	mercy
ἐπεί	"since, because, when; otherwise"
ἥκω	"to have come, be present"
ἰάομαι	to heal
λυπέω	"to grieve, pain"
ὀμνύω	to swear
ὁμολογέω	"to confess, praise"
*** 526 - 550 (/course/66563/koine-greek-3/22/)	
ὀπίσω	(+gen) after (prep.); back (adv.)
οὔπω	not yet
πνευματικός	spiritual
ὁ στρατιώτης	soldier
συνίημι	"to understand, to think about"
φρονέω	"to be wise, to think"
ἡ χήρα	widow
ἡ ἀδικία	unrighteousness
ἡ Αἴγυπτος	Egypt
ἀναβλέπω	to receive sight
γνωρίζω	to make known
δέκα	ten
τὸ δένδρον	tree
δουλεύω	to serve as a slave
ὁ Ἕλλην	Greek person; gentile
ἡ ἑορτή	"feast, festival"
κελεύω	to command
λευκός	white
μανθάνω	to learn
ἡ νεφέλη	cloud
ἡ πορνεία	sexual immorality
σός	your (sing.)
φιλέω	"to love, have affection for; kiss"
ἡ ἀκοή	"hearing, report; obedience"
ἀναιρέω	"to destroy, carry off, kill"
*** 551 - 575 (/course/66563/koine-greek-3/23/)	
ἡ ἀσθένεια	weakness
ὁ ἀστήρ	star
ἕνεκα	"(+gen) because of, for the sake of"
ἡ ἐπιστολή	"letter, epistle"
καταλείπω	"to leave, forsake"
κεῖμαι	to lie down; to be valid for
νέος	"new, young"
ὁ νοῦς	"mind, thought"
οὗ	"where, to where"
πάρειμι	"to be present, available (sum)"
ἡ παρουσία	"coming, presence"
πίμπλημι	"to fill, fulfill; satiate"
προσέχω	to pay attention to
ὁ σωτήρ	"savior, Savior"
ὁ Τιμόθεος	Timothy
ὁ ἀμπελών	vineyard
ἀνάγω	"to take up, to raise, offer up, bring"
ἄπιστος	"incredible, unbelievable, unbelieving"
διότι	"because, for, therefore"
ἡ εἰκών	image
ἐλεύθερος	free
τὸ ζῷον	living being; animal
τὸ θυσιαστήριον	altar
κατηγορέω	"to accuse, reproach; to be predicate"
κοπιάω	"to toil, grow tired, be weary"
*** 576 - 600 (/course/66563/koine-greek-3/24/)	
κωλύω	to hinder
μήποτε	"lest, perhaps"
μιμνῄσκομαι	to remember; remind
πεινάω	to be hungry
περιβάλλω	"to put on, clothe"
τὸ σκεῦος	"object, vessel"
τελειόω	"to accomplish, finish, to make perfect"
χαρίζομαι	"to give, favor, forgive"
ἀγνοέω	to be ignorant; to ignore
ἀντί	"(+gen) for, in place of, instead of"
γρηγορέω	"to be or become alert, awake"
δέομαι	"to pray, ask, beg"
δοκιμάζω	"to prove, approve, test"
ἐκλέγομαι	"to choose, select"
ἐκλεκτός	"elect, chosen"
ὁ Ἠσαΐας	Isaiah
θεάομαι	"to see, look at"
καθεύδω	to sleep
κατεργάζομαι	"to work, prepare, make, oppress, subdue"
ἡ κοιλία	"stomach, womb"
ἡ Μακεδονία	Macedonia
ἡ μετάνοια	repentance
μηκέτι	"no longer, no more"
ὁ παῖς	child; slave
ἡ πληγή	"plague, blow, wound"
*** 601 - 625 (/course/66563/koine-greek-3/25/)	
πωλέω	to sell
τὸ συνέδριον	council; Sanhedrin
τεσσεράκοντα	forty
ἡ χιλιάς	group of a thousand
αὐξάνω	to grow; cause to grow
βασιλεύω	to reign; to make a king
ἡ διδασκαλία	teaching
ἐνεργέω	"to work, produce"
εὐδοκέω	"to be well pleased, to consent, to enjoy"
ἐφίστημι	"to set, set over, establish; to come upon"
θερίζω	to reap
καθίστημι	"to put down, bring to, put in charge, make"
λατρεύω	"to serve, worship"
μνημονεύω	"to remember, mention"
ὁ πειρασμός	"temptation, test"
στρέφω	to turn
ὁ τελώνης	tax collector
τιμάω	to honor
ὑπακούω	"to obey; to hear, listen"
ὁ χιλίαρχος	"commander of a thousand; tribune, chief officer"
ὡσεί	"like, as, about"
ἡ αἰτία	cause
ἡ ἀκροβυστία	uncircumcision
τὸ ἀργύριον	"silver, money"
τὸ γένος	"family, race, kind; offspring"
*** 626 - 650 (/course/66563/koine-greek-3/26/)	
ὁ γονεύς	parent
ἐγγύς	(+gen) near
ὁ ἑκατοντάρχης	commander of a hundred; centurion
ἡ ἐπίγνωσις	knowledge
ὁ ἡγεμών	"governor, leader, chief"
ὁ Ἰσαάκ	Isaac
ὁ ἰχθύς	fish
νηστεύω	to fast
νυνί	now
τὸ ξύλον	"wood, tree"
πολύς	"much, many"
προάγω	to go before; to elevate
ἡ σκηνή	tent; Tabernacle; stage (theatrical)
σοφός	wise; skilled
τοςοῦτος	"so much, so great"
τρέχω	to run
ὁ ὑπηρέτης	assistant
ὑψόω	to lift up; to exalt
ἀπέχω	"to receive, obtain, get, be far off"
τὸ βάπτισμα	"washing, baptism"
ὁ γεωργός	farmer
διακρίνω	"to evaluate, consider, doubt"
τὸ δῶρον	"gift, present"
ἔξω	"(+gen) out, outside, outsider"
ἐπαίρω	to lift up
*** 651 - 675 (/course/66563/koine-greek-3/27/)	
ἐπιλαμβάνομαι	to take hold of
ἐπουράνιος	heavenly
ἡ κοινωνία	"fellowship, participation"
ὁ κριτής	judge
ἡ κτίσις	"creation, creature"
τὸ μαρτύριον	testimony; martyrdom
μεριμνάω	to be anxious for
παλαιός	old
τὸ παράπτωμα	trespass
παρατίθημι	to set before; commend
πότε	when?
ἡ προφητεία	prophecy
τέλειος	"complete, perfect"
ἀληθῶς	truly
ἡ Ἀντιόχεια	Antioch
ἡ ἀποκάλυψις	revelation; the Apocalypse
ἡ ἀπώλεια	"destruction, ruin"
ὁ ἀριθμός	number
ἡ Ἀσία	Asia
ἡ βλασφημία	"abusive speech, blasphemy"
ἡ δέησις	"entreaty, request, prayer"
εἰσπορεύομαι	"to enter, go in"
ἐπιβάλλω	"to lay hands on, throw"
ἐπιτρέπω	"to entrust to, permit, allow; command"
ὁ θυμός	"anger; soul, spirit, sorrow, mind"
*** 676 - 700 (/course/66563/koine-greek-3/28/)	
καταγγέλλω	"to announce, declare, preach"
κατακρίνω	to condemn
κενός	"empty, foolish, worthless"
κληρονομέω	to inherit
κοιμάω	"to sleep, to calm"
ὁ κόπος	"labor, trouble"
κρείττων	better
κρύπτω	to hide
ὁ μήν	month
μήτι	"unless; neither, nor"
ἡ οἰκοδομή	"building, building up"
παραχρῆμα	immediately
ὁ ποιμήν	shepherd
ὁ πόλεμος	war
πολλάκις	often
προςτίθημι	to put; to add
ὁ πυλών	gate; porch
ὁ στέφανος	crown
τίκτω	to bear children
φανερός	"known, plain"
χρυσοῦς	golden
ἡ ἀνάγκη	"necessity; distress, calamity"
ἀρέσκω	to please
ἡ ἄφεσις	"forgiveness, release, remission"
τὸ βρῶμα	food
*** 701 - 725 (/course/66563/koine-greek-3/29/)	
ἑκατόν	hundred
ἐλέγχω	"to reprove, convict"
ἐξίστημι	"to amaze, confuse"
ἐπάνω	"(+gen) over, above, upon, on"
ἐπαύριον	tomorrow
ἕτοιμος	ready
ὁ θησαυρός	"treasure, treasury"
ὁ ἵππος	horse
ἡ Καισάρεια	Caesarea
καταλύω	"to destroy, lodge"
κατέχω	"to hold, withhold"
κερδαίνω	to gain
κρυπτός	hidden
νίπτω	to wash
περιτέμνω	to circumcise
τὸ πλήρωμα	fullness
ὁ ποταμός	river
ἡ ῥίζα	root; origin
ῥύομαι	to deliver
ταράσσω	to trouble
ὁ ὑποκριτής	interpreter; actor; hypocrite
ὑπομένω	"to endure, remain, wait upon"
τὸ χάρισμα	"gift, favor bestowed"
ὦ	"omega; O (address), or Oh!; alas"
ὡσαύτως	"likewise, similarly"
*** 726 - 750 (/course/66563/koine-greek-3/30/)	
ἀθετέω	to reject; to rebel against
ἀνακρίνω	to examine
ὁ γάμος	marriage
τὸ δεῖπνον	"dinner, supper"
ὁ δέσμιος	"bound, prisoner"
τὸ δηνάριον	denarius
διαλογίζομαι	"to reason, discuss, consider"
διατάσσω	"to assign, arrange, command"
διψάω	to thirst
ἐκτείνω	to stretch out
ἐκχέω	"to pour out, bring forth, come forth"
ἐμβαίνω	to embark; to enter
ἔπειτα	then
ἐπιθυμέω	to desire
ἐπιμένω	"to remain, stay, continue"
ὁ ἐργάτης	worker
ἡ εὐλογία	blessing
ἡ Ἔφεσος	Ephesus
κακῶς	"badly, severely, wrong, fierce"
κατέρχομαι	"to come down, go down, return"
ἡ Καφαρναούμ	Capernaum
κλείω	"to close, shut"
ὁ κλέπτης	thief
ἡ λύπη	"grief, pain"
μέχρι	(+gen) up to (prep.); until (conj.)
*** 751 - 775 (/course/66563/koine-greek-3/31/)	
ὁ νυμφίος	bridegroom
οὐδέποτε	never
τὸ πάθημα	suffering
παρέχω	"to provide, cause, grant, present"
πλήρης	full
πλησίον	(+gen) near;  neighbor
προςδοκάω	"to wait for, expect"
ἡ σκοτία	darkness
ἡ συκῆ	fig tree
συλλαμβάνω	"to seize; help; conceive, become pregnant."
συνίστημι	"to associate with, to recommend; to unite, to collect"
ἡ σφραγίς	seal
τὸ τέρας	"wonder, marvel; omen, monster"
τολμάω	"to dare, act rashly"
ἡ τροφή	"food, provisions, forage"
ὑστερέω	to lack; be late; postpone
χορτάζω	"to feed, to fill"
ἀνέχω	"to lift, esteem, hinder, stop, bear, suffer, be patient"
ἡ ἀνομία	lawlessness
ἀπάγω	to lead away
γεύομαι	"to taste, experience"
