и	and
при	in the presence/time of; attached to (+pr)
мать	mother
нужно	it is necessary
сила	"strength, force"
смотреть/по-	to watch; (на +a) look (at)
вместе	together
выходить/выйти	to go out
любить/по- (+a)	"to like, love; p: to fall in love with"
дорога	road
старый	old
улица	street
книга	book
решать/решить	to decide; solve (+inf or +a)
всегда	always
голос	voice; vote
значить	to mean
сразу	at once
лишь	only (=только)
минута	minute
бы	would (conditional particle)
снова	again
окно	window
уходить/уйти	to leave (on foot)
девятьсот	nine hundred
последний	last
отец	father
проходить/пройти	"to go through, pass (on foot)"
час	hour
просто	simply
же	emphasizes preceding word
никто	nobody
третий	third
потому	that is why; because
ждать/подо-	to wait (for) (+a or +g)
сколько (+g)	"how many, how much"
высокий	"high, tall"
лес	"wood, forest"
лучше	better
получать/получить	"to receive, get (+a)"
почти	almost
конец	end
нога	"leg, foot"
покачиваться	"to rock, sway"
собственный	one’s own (adj)
отвратительный	repulsive
сто	hundred
четыре	four
художник	artist
пока	while
пока... не	until
путь	"way, journey"
слушать/по-	to listen to (+a)
белый	white
республика	republic
быстро	quickly
куда	"where (whither), which way?"
главный	main
дети	children
газета	newspaper
рассказывать/рассказать	"to tell, talk (about)"
совет	advice; council
понимать/понять	to understand (+a)
бывать	to be (repeatedly)
пора	"it is time; time, season"
твой	your (familiar)
находить/найти	to find (+a)
песня	song
имя	(first) name
партия	party (political)
вечер	evening
между (+inst)	between
опять	again
иметь (+a)	to have (with non-concrete object)
настоящий	real; present
план	plan
правда	truth
сорок	forty
ходить/по-	to walk around/about
ходить/с-	to go there and back
узнавать/узнать	to recognize; find out (+a)
поле	field
ночь	night
входить/войти	to enter
красный	red
тело	body
более	more
урок	lesson
нельзя	it is not allowed; it is impossible
рядом	alongside
лежать/по-	"to lie, be, be situated, (p) lie for a while"
про (+a)	about (=о +pr)  (coll)
интересный	interesting
никогда	never
район	region
отвечать/ответить	to answer
нужный	necessary
особенно	especially
начальник	"head, boss"
разный	"various, different"
тридцать	thirty
десять	ten
мир	world; peace
картина	picture
комитет	committee [not комиссия]
вид	"view, look; species"
мысль	thought
гость	guest
старший	"elder, senior"
среди (+g)	among
случай	"case, occurrence, chance"
народный	people’s
помнить/вс-	to remember (+a or о +pr)
пусть	let
просить/по- (+a +inf)	"to request, ask (s.o. to do sth)"
двор	"yard, court"
разговор	conversation [not беседа]
долго	for a long time
месяц	month; moon
союз	union
возвращаться/вернуться	to come back
война	war
хотя	although
целый	whole
берег	"bank, shore"
скоро	soon
группа	group [not коллектив]
студент	student
товарищ	comrade
часть	part
спать/по-	to sleep
полный	full
сюда	here (hither)
приезжать/приехать	to arrive (by transport)
оно	it
женщина	woman
собрание	"meeting, collection"
чуть	"hardly, just"
подходить/подойти (к +d)	to approach; (+d) to suit
дерево	tree
сад	garden
бояться (+g)	"to fear, be afraid"
папа	dad; Pope
прошлый	past (adj)
помощь	help
планировать/за-	to plan (+a)
прямо	"directly, straight"
лучший	better; best
мастер	master
секретарь	secretary
стена	wall
оказываться/оказаться (+inst)	to turn out (to be); find oneself
сын	son
брат	brother
зачем	"why, for what"
играть/сыграть	to play
институт	institute; institution
пятый	fifth
раньше	earlier
тихо	quiet (adv)
чёрный	black
великий	great
завтра	tomorrow
широкий	wide
мало (+g)	few; not much
наконец	in the end
плечо	shoulder
разве	really
разве... не	surely
снег	snow
будущий	future (adj)
сердце	heart
трудно	(it is) difficult
язык	language; tongue
приходить/прийти	to arrive (on foot)
русский	Russian; a Russian
недавно	recently
советский	Soviet (adj)
некоторый	"some, a certain"
продолжать/продолжить	to continue
член	member
поэтому	consequently
замечать/заметить	to notice (+a)
квартира	"flat, apartment"
уметь/с- (+inf)	"to know how to; (p) be able to, manage to"
свет	light; world
назад	"back, ago"
школьник	schoolboy
домой	"home, homewards"
право	right; law
сильный	"strong, powerful"
средний	middle; average
дальше	further
задача	"task, problem"
бежать/по-	to run
ветер	wind
помогать/помочь (+d)	to help (s.o.)
словно	as if
дорогой	"dear, expensive"
история	history; story
молчать/за-	to be silent; p: to fall silent
солнце	sun
дома	at home
море	sea
огромный	enormous
ученик	pupil
чувство	feeling
петь/с- (+a)	to sing
борьба	struggle
речь	speech
ехать/по-	to go (by transport)
хлеб	bread
движение	"movement, motion"
праздник	"holiday, festival"
внимание	attention
считать/счесть	to consider (sth/s.o. to be sth) (+a +inst)
считать/со-	to count
иногда	sometimes
кричать/за-	to shout
фабрика	factory
успевать/успеть (+inf)	"to have time, to be in time"
действительно	"really, actually"
именно	"namely, exactly"
общий	general (adj)
всякий	"any, every, all sorts of"
директор	director
красивый	beautiful
номер	number; hotel room
около (+g)	near; about
парень	"lad, boy"
хозяйство	economy
вокруг (+g)	around
душа	soul
четвёртый	fourth
шесть	six
поднимать/поднять	"to raise, lift (+a)"
взгляд	"look, view, opinion [not мнение]"
инженер	engineer
также	as well
тяжёлый	heavy
цветок	flower
брать/взять	to take (+a)
видно	"evident, visible [not видимый]"
воздух	air
давно	(since) long ago
покоиться (на +pr)	"to rest, repose (on)"
забывать/забыть	to forget (+a or o +pr)
опыт	experience; experiment
звать/по-	"to summon, call (s.o.) (+a)"
из-за (+g)	from behind; because of
стройка	building; building site
молоко	milk
ставить/по-	"to place, put (in a standing position) (+a)"
однако	however
угол	corner
бумага	paper
жена	wife
принимать/принять	"to take, accept, receive (+a)"
длинный	long
занятие	occupation; (pl) classes
чистый	"clean, pure"
шестой	sixth
садиться/сесть	to sit down; get into (transport)
часто	often
военный	"military, war (adj); soldier"
вставать/встать	"to get up, stand up"
игра	game
кружок	"circle, club"
хозяин	"master, boss, owner"
никакой	(absolutely) no
дядя	uncle
живой	"alive, lively"
деревня	village; countryside
образ	"manner, way, shape, image"
добрый	"good, kind"
порядок	"order, sequence, manner"
строитель	"construction worker, builder"
успех	success
приносить/принести (+a)	to bring
слишком	"too, too much"
прежде	before
рассказ	story
семья	family
утро	morning
лагерь	camp
нос	nose
знакомый	familiar; an acquaintance
армия	army
пожалуйста	"please, please do; don’t mention it"
собираться/собраться (+inf)	to gather; intend to; be about to
сначала	at first; from the beginning
техника	technology
доклад	report
оба	both
попадать/попасть	to hit; get to (в/на +a)
седьмой	seventh
поздно	late
встреча	meeting
деньги	money (pl)
возможность	possibility
культура	culture
следовать/по-	to follow (+d); be required
ну	well (interjection)
очередь	"queue, turn"
личный	personal
школа	school
команда	"team, crew; command"
расти/вы-	to grow
причина	"reason (+g for), cause"
ребята	"children, boys (coll)"
девочка	little girl
колхоз	collective farm
многий	many
организация	organization
мама	mother; mummy
станция	station
туда	there (thither)
уж/уже	already; really
совершенно	"completely, perfectly"
спокойно	"calmly, quietly"
всё-таки	"all the same, for all that"
чем	than
будто	"as though, allegedly"
хотеться/за- (+d)	"to want, feel like; p: to start to want"
мнение	opinion [not взгляд]
впервые	for the first time
любой	any (any you like)
медленно	slowly
друг друга	each other
приходиться/прийтись (+d)	to have to
начало	beginning
зал	hall
держать	"to hold, keep"
похожий	"resembling, similar"
предприятие	"enterprise, factory"
спортивный	sporting (adj)
весёлый	"cheerful, merry"
здравствовать	"to be healthy, prosper"
Здравствуй(те)	Hello/How are you?
вперёд	forward; in advance [not заранее]
зелёный	green
небо	"sky, heaven"
встречать/встретить	to meet (+a)
бабушка	grandmother
отношение (к +d)	"attitude, relation (to); (pl) relations"
детский	children’s
останавливаться/остановиться	to stop
восемь	eight
ответ	answer
доска	board
появляться/появиться	to appear
неделя	week
завод	factory
форма	form
вещь	thing
являться (+inst)	to be (sth) (formal)
герой	hero
кроме (+g)	"except, besides"
подниматься/подняться	"to rise, climb, arise"
съезд	congress
точно	exactly; punctually
ход	movement
равно	"equal, alike (adv)"
шаг	step; stride
клуб	club
крупный	"large, important"
вспоминать/вспомнить	"to remember, recall (+a or о +pr)"
небольшой	small
художественный	artistic
кто-то	someone
нравиться/по- (+d)	to please (s.o.)
школьный	school (adj)
государство	state
американский	American (adj)
строить/по- (+a)	to build
восьмой	eighth
немного (+g)	"a little, not much"
пауза	pause
показывать/показать	to show (sth to s.o.) (+a +d)
далеко	far
затем	"after that, then"
однажды	"once, one day"
здание	building [not постройка]
птица	bird
самолёт	aeroplane
шофёр	driver
двести	two hundred
семь	seven
известный	well-known
правильно	correctly
решение	decision; solution
вечером	in the evening
готовый	ready
стараться/по- (+inf)	to try
например	for example
простой	simple
учить/вы- (+a)	"to learn (sth), teach oneself"
произведение	a work
учить/на-	to teach (s.o. sth) (+а +d)
иной	other
результат	result
доктор	doctor
случаться/случиться	to happen
называть/назвать	"to name, call (s.o. sth) (+a +inst)"
важный	important
знание	knowledge
улыбаться/улыбнуться (+d)	to smile (at)
плохо	badly
открывать/открыть	to open; discover (+a)
учиться/на- (+inf)	to learn (to do sth)
оставаться/остаться	to stay
наука	science; scholarship
камень	stone
развитие	development
против (+g)	against; opposite
бог	God
общество	society
ничего	"nothing; all right, not too bad; never mind"
условие	condition
солдат	soldier
революция	revolution
начинаться/начаться	to begin
господин	gentleman; Mr
область	"oblast, province; area, field (of activity)"
что-то	"something; (coll) somewhat, somehow"
власть	power
судьба	fate
находиться/найтись	"to be situated; be found, turn up"
действие	"act, action [not поступок]"
мера	measure
энергия	energy
ряд	"row, line, series"
положение	position
глядеть/по- (на +a)	to look (at)
общественный	"social, public"
век	"century; age, era"
миллион	million
основной	"basic, fundamental"
генерал	general (noun)
огонь	fire; light
интерес	interest
легко	easily; it is easy
материал	material
полночь	midnight
цель	"target, purpose"
покупка	purchase
масса	mass
бой	battle
луч	"ray, beam"
закон	law
волна	wave
процесс	"process; trial, lawsuit"
природа	nature
научный	"scientific, scholarly"
различный	"different, various"
мировой	world (adj)
система	system
лист	leaf (of plant); sheet (of paper)
политический	political
хоть	"even if, if only, even, although"
ребёнок	child
связь	"connection, link, communication"
вообще	in general
мужчина	man
верить/по-	"to believe (+d) s.o. or sth, (в +a ) in s.o. or sth"
что-нибудь	anything
представлять/представить	"to present, introduce (+a)"
искать/по-	"to search for, to look for (+a or +g)"
писатель	writer
промышленность	industry
учёный	"learned, scholarly; (as noun) scholar, scientist"
верно	"faithfully, truly; it is true"
служить/по-	to serve
правительство	government
есть/съ- (+a)	to eat
экономический	economic [not хозяйственный]
рабочий	(blue collar) worker; working
современный	"modern, contemporary"
работник	"worker, s.o. who works"
корабль	ship
чёрт	devil [not дьявол]
качество	quality
международный	international
офицер	officer
проблема	problem
требовать/по- (+g)	to demand
коммунизм	communism
число	number; date
коммунист	communist
база	base; depot
количество	quantity
палец	finger; toe
класс	class; classroom
победа	victory
километр	kilometre
пить/вы- (+a or +g)	"to drink, have an alcoholic drink"
река	river
человеческий	human (adj) [not людской]
гора	"mountain, hill"
милый	"nice, dear"
политика	"politics; policy, policies"
производство	production
национальный	national; ethnic
холодный	cold (adj)
богатый	rich
государственный	state (adj)
откуда	from where
сложный	"complicated, complex"
бросать/бросить	"to throw; abandon, give up (+a)"
строительство	construction
значение	"meaning, importance [not важность]"
председатель	chairman
характер	character
необходимый	essential
смеяться/за- (над +inst)	to laugh (at)
бороться (с +inst)	to struggle (against)
изделие	(manufactured) article
особый	special
смерть	death
статья	"article (newspaper, journal)"
счёт	"bill, account; count, score"
весьма	"very, extremely"
подобный	similar
сельский	"rural, country"
пример	example
средство	means; (pl) resources
революционный	revolutionary
скорость	speed
факт	fact
малый	small
чай	tea
тёмный	dark
явление	phenomenon
состоять (из +g)	to consist of
ясно	clearly; it is clear
точка	"dot, point; full stop"
стоить	"to cost, to be worth"
ум	"mind, intellect"
событие	event
существовать	to exist
вполне	"fully, entirely"
кабинет	"study, office"
спасибо	thank you
помещаться/поместиться	"to be located; find space, go in, fit in; install os"
враг	enemy
глубокий	deep
близкий	"close, near (adj)"
ах	"ah!, oh!"
деятельность	activity
приводить/привести (+a)	to bring (s.o.); (к +d) lead to
трубка	"tube, pipe; telephone receiver"
английский	English; British (adj)
французский	French (adj)
сей	this  (bookish; used in set phrases)
температура	temperature
состояние	"state, condition; fortune"
правый	right; right-wing
счастье	"happiness, luck"
рубль	rouble
вчера	yesterday
автор	author
большинство	majority
известно	it is (well) known
смысл	"sense, meaning"
мелкий	"small, petty, fine"
течение	"flow, current; course [not поток]"
оружие	"weapons, arms"
муж	husband
происходить/произойти	to happen; originate
свободный	free [not вольный]
идея	idea
усилие	effort
линия	line
страница	page
искусство	art
состав	"composition, make-up"
капитализм	capitalism
литература	literature
бить/по- (+a)	"to beat, hit"
иначе	otherwise
читатель	reader
наиболее	(the) most [not самый]
рост	"growth, increase; height"
американец	American (noun)
корень	root
немец	German (noun)
серьёзный	serious
свойство	"characteristic, property"
взглядывать/взглянуть	"to look, glance (at) (на +a)"
высоко	high (up); highly; it is high
население	population
стекло	glass (material)
театр	theatre
надежда	hope
довольно	"contentedly; fairly, rather; (+g) enough"
край	"edge; region, area"
мужик	(Russian) peasant
степь	steppe
цвет	colour; blossom; prime
дед	grandfather
основа	"base, foundation"
рано	early; it is early
технический	technical; engineering
строй	"system, structure; military formation"
счастливый	"happy, lucky"
круг	circle
момент	moment; feature (of a situation)
необходимо	it is essential; it is necessary
дочь	daughter
использовать	to make use of (+a)
министр	minister (government)
синий	dark blue
передавать/передать	"to pass, hand over; transmit, convey (+a)"
программа	programme
десяток	ten; a decade [not десятилетие]
кровь	blood
отдавать/отдать	"to give away, give back; return (+a)"
отдельный	separate
свобода	freedom
хватать/хватить (+g)	"(3rd pers +g) to be enough, suffice"
внутренний	"inner, interior, internal"
занимать/занять	to occupy (+a)
выступать/выступить	to appear in public; protrude; speak (publicly)
как-то	"somehow; (coll) once, at one time"
представитель	representative
фронт	front (war)
богатство	"wealth, riches"
желать/по- (+g)	"to want, wish (for)"
какой-нибудь	any; any kind of
глубина	depth
мимо (+g)	past (preposition)
управление	management; administration; control
слава	"glory, fame"
сотня	a hundred
страшный	"terrible, dreadful"
тем	(by) so much
весна	spring (season)
портить/ис- (+a)	"to spoil, damage"
действовать/по-	"to act, function, affect"
пол	floor; sex
значительный	significant
процент	"percent, percentage"
родина	"homeland, native land"
сцена	stage (theatre); scene
порок	vice; defect
метр	metre (measurement)
чужой	someone else’s; foreign
воля	"will; freedom, liberty"
зуб	tooth
метод	method
прощать/простить	"to forgive (s.o. or sth), pardon (+a)"
ладно	harmoniously; all right (unenthusiastic agreement)
впрочем	"however, but; or rather"
связывать/связать	"to tie; connect, bind (+a)"
яркий	bright
песок	sand
уровень	level; standard
источник	source
менее	less
исторический	historical; historic
половина	half
служба	service
мешать/по-	"(+d) to hinder, prevent; disturb; (+a) to stir"
село	village
горячий	hot [not жаркий]
образование	education; formation
сильно	strongly; very much
тонна	"ton (1,000 kilogrammes)"
вызывать/вызвать	"to cause, summon (+a)"
зрение	"eyesight, vision"
морской	"sea, marine; naval"
остальной	the rest (of)
семя	seed
тонкий	"thin, slender; fine, subtle"
флот	fleet
беседа	"talk, discussion [not разговор]"
данный	given
достаточно	sufficiently; (+g) enough
единственный	"only, sole"
лампа	lamp
продукция	"production, output"
прочий	other
центр	centre
вовсе	at all
западный	western
корреспондент	correspondent
пожалуй	very probably
приём	"reception; method, device"
страшно	terribly; it is terrible
возле (+g)	"by, near"
вон	"out, away; over there"
удаваться/удаться (+d)	to succeed
партийный	party (adj)
телефон	telephone
быстрый	"quick, fast"
крестьянин	peasant
выход	"exit, way out"
пытаться/по- (+inf)	to attempt (to do sth)
стих	line of poetry
период	period
убивать/убить	to kill; murder (+a)
боевой	"fighting, battle (adj)"
дружба	friendship
едва	"hardly, scarcely, only just"
неужели	really? is it possible?
степень	"degree, extent"
войска	"troops, army"
карта	"map, card"
направление	direction
человечество	mankind
вроде (+g)	"like, such as"
громадный	enormous
лёгкий	"light, easy"
пользоваться/вос- (+inst)	"to use, make use of"
предложение	"offer, suggestion; sentence (grammar)"
вероятно	probably
элемент	element
являться/явиться	to appear
печь	stove
печь/ис- (+a)	to bake
казаться/по-	"to seem, to appear, to show oneself"
умный	intelligent
глава	"head, chief; chapter"
плакать/за-	"to cry, weep, p: to begin to cry"
сквозь (+a)	through
способ	"way, method"
способный	"able, capable"
церковь	church
часы	"watch, clock"
память	memory
честь	honour
открытый	open (adj)
понятно	understandably; I see! I understand!
совещание	"meeting, conference"
замечательный	"remarkable, splendid"
предмет	"object, article; subject, topic"
слеза	tear
где-то	somewhere
дно	"bottom (of sea, river, well, vessel)"
магазин	"shop, store"
старуха	old woman
знаменитый	famous
вещество	"substance, matter"
создание	creation; creature
посещение (+g)	"visit (to), attendance (at)"
посредством (+g)	by means of
музей	museum
падать/пасть	to fall
ясный	clear
поверхность	surface
близко	"it is near, it is not far; near, close; closely"
карман	pocket
заявлять/заявить (о +pr)	to announce
следующий	"following, next"
золотой	"gold, golden"
колено	knee
равный	equal (adj)
снимать/снять	to take off; photograph; rent (+a)
страх	fear
тёплый	warm
высота	height
музыка	music
остров	island
относиться/отнестись (к +d)	"to relate to; regard, treat"
волос	(a) hair
столь	so
мирный	"peace, peaceful"
трудный	difficult
долгий	long (in time) (adj)
железный	iron (adj)
прямой	"straight, direct"
переставать/перестать (+inf)	"to cease, stop"
социальный	social
воспитание	upbringing
дитя	child
покупать/купить	to buy (+a)
луна	moon
пускать/пустить	"to let in; let go, allow (+a)"
вместо (+g)	instead of
несмотря	in spite of (на +a)
кухня	kitchen
любовь	love
рисунок	drawing
слой	"layer, stratum [not пласт]"
кулак	fist; kulak (rich peasant)
тема	"subject, topic, theme"
материальный	material (adj)
теория	theory
баба	"peasant woman; (coll) old woman, woman"
цена	price
терять/по- (+a)	"to lose (e. g. time, weight, an object)"
прекрасный	"beautiful, fine"
конь	horse [not лошадь]
род	"family, kin; birth, origin; sort, kind; gender"
голубой	light blue
господь	"God, the Lord"
губа	lip
посылать/послать	to send (+a)
руководитель	"leader, manager; instructor, supervisor"
всего	"in all, altogether; only"
зерно	"grain, corn; seed"
специальный	special
тётя	aunt
центральный	central
вывод	"conclusion, deduction"
земной	"earthly, terrestrial"
выполнять/выполнить (+a)	"to carry out, fulfil"
молодёжь	"young people, youth"
эх	"eh! oh! (expressing regret, annoyance, reproach, amazement)"
возможно	possibly; possible; it is possible
глубоко	"deep; deeply, it is deep"
добиваться/добиться (+g)	"to obtain, achieve; strive for; get"
местный	local
растение	plant
старик	old man
поход	"campaign; walking tour, expedition; cruise"
спина	back (noun)
судить (о +pr)	to judge; (+a) try (s.o.)
умирать/умереть	to die
экономика	economics; economy
больной	"ill; sore; (as noun) patient, invalid"
дух	spirit; breath
ниже	"lower, below"
океан	ocean
запас	"stock, supply; reserve"
вновь	"anew, again; newly"
министерство	ministry (government)
обязательно	"without fail, definitely"
польза	"use; benefit, profit; advantage; utility"
предлагать/предложить	"to offer, propose (sth to s.o.) (+a +d)"
создавать/создать	to create (+a)
зависеть (от +g)	to depend (on)
плод	fruit
радио	radio
разнообразный	"various, varied"
существование	existence [not бытие]
бывший	former
касаться/коснуться (+g)	to touch; concern
посылка	parcel; errand; sending
никак	in no way; by no means
основание	"foundation, basis; founding"
приказывать/приказать (+d)	"to order, command s.o."
родной	"native; own; (as noun, in pl) relatives, relations"
солнечный	"sun, solar; sunny"
стремиться (к +d)	to strive (for)
газ	gas
орудие	"instrument; implement; (field) gun, piece of ordnance"
исследование	investigation; research
радость	joy
том	volume (book)
честный	honest
ладонь	palm (of the hand)
определённый	definite; certain
позиция	position
ради (+g)	for the sake of
срок	"period (of time); (last) date, deadline"
ухо	ear
шум	"noise, din"
аппарат	apparatus
гораздо	much (with comparatives)
слышать/у-	to hear (+a)
капитал	capital (financial)
плохой	bad
площадь	square; area
поезд	train
профессор	professor
серьёзно	seriously
соль	salt
сон	sleep; dream
гражданин	citizen
доставать/достать	"to get, obtain; take out; reach (+a)"
тень	shade; shadow
дурак	fool
ибо	for (because)
лошадь	horse [not конь]
пшеница	wheat
столько (+g)	"so much, so many"
эпоха	"epoch, age"
давай(те)	let’s (do sth)
беда	misfortune
дальний	"distant, remote"
закрывать/закрыть	"to close, shut; cover (+a)"
обычный	usual
проводить/провести (+a)	"to lead, conduct; spend (time)"
звезда	star
разговаривать	"to converse, talk"
разрешать/разрешить (+d of person)	"to permit; solve, allow"
нечего	there is nothing
атмосфера	atmosphere
лодка	"boat, rowing boat"
название	name; title (book)
размер	"size, scale, extent"
правильный	"correct, right (adj)"
пустой	empty
сапог	boot; jackboot
дальнейший	further
журнал	"magazine, periodical; journal, register"
либо	or
скорее	quicker; rather
телевизор	television (set)
ракета	rocket
способность	ability
академия	academy
впечатление	impression
древний	ancient
иметься	"to be, be available"
ожидать	to wait (for); expect (+a or +g)
пароход	steamer
разоружение	disarmament
след	"footprint; trace, vestige"
удар	"blow, strike"
внешний	exterior
моряк	sailor
нож	knife
грудь	breast
крайний	extreme
наоборот	"on the contrary, vice versa, the other way round"
передовой	advanced; progressive
принцип	principle
тайна	"secret, mystery [not секрет]"
тихий	"quiet, calm"
устанавливать/установить	"to set up, establish (+a)"
электрический	electric
ворота	"gate, gates"
дворец	palace
золото	gold
открытие	opening; discovery
верный	"faithful, correct, reliable, sure"
отсюда	from here; hence
немецкий	German (adj)
специалист	specialist
длина	length
наблюдать	"to observe, watch (+a)"
повышение	"rise, increase; promotion"
получаться/получиться	"to turn out, work out, result"
соглашаться/согласиться	"to agree (c +inst) with, (на +a) to"
представляться/представиться	"to introduce os; present itself, occur"
участие	participation; sympathy
весело	"merrily, cheerfully"
приказ	"command, order"
левый	left; left-wing
московский	Moscow (adj)
немедленно	"immediately, forthwith"
постоянный	"constant, permanent"
роман	"novel; love affair, romance"
предлог	pretext; preposition
смех	"laughter, laugh"
твёрдый	"hard, firm, solid"
тон	"tone, musical tone; colour tone, tint"
абсолютно	absolutely
деталь	detail; component (of machine)
объём	"volume, capacity, size"
интересно	interestingly; it is interesting
книжка	(small) book
курс	"course, course of study; rate of exchange"
почва	soil
пыль	dust
светлый	"light, bright"
серый	grey
низкий	low
молчание	silence
анализ	analysis
влияние	influence
молчать/по-	to be silent for a while
руководство	"leadership; guide, manual"
атомный	atomic
граница	frontier; limit
защита	defence [not оборона]
кусок	piece
наверное	probably
очевидно	obviously
предел	limit
неожиданно	unexpectedly
пара	"pair, couple"
платок	"shawl, kerchief"
практический	practical
стенка	"wall, partition, side"
тишина	"quiet, silence"
существо	"essence; being, creature"
товар	"commodity, article"
вершина	"summit, peak"
взрыв	explosion
дождь	rain
виноватый	"guilty, to blame"
вырастать/вырасти	"to increase, grow"
гражданский	"civil, civic"
деятель	"personality, figure, agent"
называться/назваться	to be called
невозможно	impossibly; it is impossible
обещать (+d)	to promise (s.o.)
позволять/позволить (+d)	to permit (s.o.)
сестра	sister
следовательно	"consequently, therefore"
роль	role
столица	capital (city)
фигура	figure
царь	tsar
бедный	poor
верхний	upper
вслед (за +inst)	"(right) after, behind, following"
изменение	"change, alteration [not перемена]"
рад	glad (short adj)
носить (+a)	to carry (around); wear
особенность	"peculiarity, special feature"
резко	"sharply, abruptly"
звонок	"bell, ring; telephone call"
повод	"cause, grounds"
испытание	"test, trial; ordeal"
обстановка	"environment, situation; furniture"
печать	"seal, stamp; print, printing"
изучение	(detailed) study (of)
постоянно	"constantly, perpetually"
необходимость	necessity [not надобность]
разуметься	to be meant
стакан	"glass, tumbler"
точный	"exact, precise"
уезжать/уехать	"to go away, leave (by transport)"
широко	"widely, broadly"
возможный	possible
комиссия	"commission, committee [not комитет]"
гектар	"hectare (10,000 square metres, 2.5 acres)"
благодарить/по-	to thank (s.o. for sth) (+a; за +a)
блестящий	"shining, bright, brilliant"
вес	weight
врач	doctor
крик	"cry, shout (noun)"
нынче	(coll) now (= теперь); today
жёлтый	yellow
обеспечивать/обеспечить	"(+a +inst) to supply, provide (s.o. with sth); (+a) assure, guarantee"
поэт	poet
рот	mouth
собака	dog
соседний	"neighbouring, next"
туман	"fog, mist"
капитан	captain
философия	philosophy
доказывать/доказать	"to demonstrate, prove (+a)"
здоровье	health
привязывать/привязать	to attach (sth to sth) (+a к +d)
извинять/извинить (+a)	to pardon
ошибка	mistake
прерывать/прервать	to interrupt (+a)
тотчас	immediately
вагон	"carriage, coach, wagon"
приёмник	radio set
подавляющий	overwhelming
гореть/за-	"to burn, be alight"
сожаление	regret
практика	practice
укрепление	strengthening (noun)
быт	"way of life, everyday life"
делаться/с- (+inst)	to become; be done
крыша	roof
недостаток	defect; (+g or в +pr) shortage (of)
далёкий	"distant, remote"
отрасль	"branch (of science, industry, government, etc.)"
канал	canal; channel
подавать/подать	to give; serve (food); present (+a)
поиск	search
порт	port
свидание	"meeting, rendezvous"
организовать	to organize (+a)
требование	demand
черта	"feature, trait; line"
вздыхать/вздохнуть	to sigh
записка	note (written) [not заметка]
озеро	lake
штат	"staff (of institution); state (of the USA, Australia)"
сознание	consciousness
тепло	warmly; it is warm; warmth
прежний	former
пространство	"space, expanse"
составлять/составить	"to make up, compose, constitute (+a)"
вдоль (+g)	along
спутник	travelling companion; satellite
