*** 1 - 10 (/course/195613/spanish-nouns-4/1/)	
el pajecillo	little page
(el)(la) penca	main rib
*** 91 - 100 (/course/195613/spanish-nouns-4/10/)	
(los)(las) nahuas	Nahua
el engorro	nuisance
el guateque	"party, do, thrash"
el fantoche	"puppet, marionette, braggart"
el resquemor	resentment
el petirrojo	"robin, redbreast"
la silicosis	silicosis
el fleje	strip
la sopera	tureen
la menestra	"vegetable soup, vegetable stew"
*** 101 - 110 (/course/195613/spanish-nouns-4/11/)	
el baldío	"wasteland, vacant lot, uncultivated plot"
los hierbajos	weeds
el cava	"wine, cava, large vein"
la agricultora	"farmer, agriculturalist, agriculturist"
el natalicio	birthday
el formol	formaldehyde
el llantén	plantain
el sumergible	submarine
el guatemalteco	Guatemalan
el planning	planning
*** 111 - 120 (/course/195613/spanish-nouns-4/12/)	
el sureño	southerner
las veneras	scallop
la ampicilina	ampicillin
la ampulosidad	"bombast, puffiness"
el antropocentrismo	anthropocentrism
la apoyatura	appoggiatura
el bombín	"bowler hat, derby, bicycle pump"
la cachaza	"lethargy, slowness"
el caroteno	carotene
la cementita	cementite
*** 121 - 130 (/course/195613/spanish-nouns-4/13/)	
la cosificación	reification
el enrarecimiento	rarefaction
la estraza	kraft
la extraversión	extraversion
el fotomontaje	photomontage
el hectómetro	hectometer
el iglú	igloo
el intermezzo	intermezzo
la magnetita	magnetite
el mentol	menthol
*** 131 - 140 (/course/195613/spanish-nouns-4/14/)	
el metileno	methylene
la metionina	methionine
el miau	"miaow, meow"
el paddock	paddock
el prosaísmo	"prosaism, prose, prosiness"
la raleza	thinness
el ramadán	Ramadan
la riza	crimp
el secreter	"secretaire, secretary"
el símplex	simplex
*** 141 - 150 (/course/195613/spanish-nouns-4/15/)	
el titanio	titanium
el trajecito	outfit
el trirreme	trireme
el voleo	volley
la gemela	"soul, spirit"
el paseíto	"jaunt, little walk, gentlee stroll"
la ordenadora	milking machine
la morbidez	"softness, delicacy"
el devaneo	"a bit of a thing, a thing, a bit of a thing going on"
el acomodamiento	"accommodation, agreement"
*** 151 - 160 (/course/195613/spanish-nouns-4/16/)	
(los)(las) albigenses	Albigenses
(el)(la) chinche	"bug, bedbug, thumbtack"
el toril	"bullpen, pen"
los cromatóforos	chromatophores
el confeti	confetti
la cistitis	cystitis
el chapuzón	"dip, quick dip"
el caporal	"foreman, chief, leader"
el porrón	"glass wine jar with a long tapered drinking spout, lot, large amount"
el trasgo	"goblin, hobgoblin, sprite"
*** 161 - 170 (/course/195613/spanish-nouns-4/17/)	
el mequetrefe	good for nothing
el cabecero	headboard of bed
(el)(la) rompecorazones	Heartbreak
el mercachifle	huckster
el hidrato	hydrate
el puyazo	jab
el magnetómetro	magnetometer
el mixto	match
el caz	millrace
el brezal	"moor, heath, moorland"
*** 171 - 180 (/course/195613/spanish-nouns-4/18/)	
(el)(la) motociclista	"motorcyclist, rider"
la segadora	"mowing machine, reaper"
el nominativo	nominative
el onagro	onager
el ósculo	osculation
(el)(la) parisiense	Paris
la coima	"payola, concubine"
el pinocho	Pinocchio
el avío	"preparation, arrangement, provision"
el libramiento	riddance
*** 181 - 190 (/course/195613/spanish-nouns-4/19/)	
el bolillo	"roll, bread roll, bobbin"
el escudete	"shield, escutcheon, gusset"
la sudadera	"sweatshirt, saddle blanket, heavy sweating"
el prontuario	syllabus
la pretina	"waistband, girdle"
las entendederas	witted
la uralita	asbestos
la cirujana	surgeon
la cordera	"lamb, lambskin"
la enervación	enervation
*** 191 - 200 (/course/195613/spanish-nouns-4/20/)	
el cricket	cricket
el estoico	stoic
el napolitano	Neapolitan
la adenosina	adenosine
el alcano	alkane
el antifascismo	anti-fascism
la aromaterapia	aromatherapy
la barbita	beard
el biso	Bison
el buzamiento	dip
*** 201 - 210 (/course/195613/spanish-nouns-4/21/)	
el cabestrillo	"sling, splint"
el caliche	caliche
la conserjería	"post of janitor, post of superintendent, post of caretaker"
el cronometraje	"timekeeping, timing"
la datura	datura
la despolitización	depoliticization
la entente	Entente
el falucho	felucca
la fastuosidad	lavishness
la fondue	fondue
*** 211 - 220 (/course/195613/spanish-nouns-4/22/)	
el footing	"jog, jogging, running"
la frenología	phrenology
el gánster	gangster
el gustazo	splash out
el hipotiroidismo	hypothyroidism
la invalidación	"invalidation, nullification"
la laparoscopia	laparoscopy
el leviatán	leviathan
el mousse	mousse
la mudada	doffing
*** 221 - 230 (/course/195613/spanish-nouns-4/23/)	
el obstruccionismo	obstructionism
el percentil	percentile
el ratoncillo	little mouse
la sustantividad	substantivity
la troica	troika
el vapuleo	"whipping, mugging"
la vivisección	vivisection
el calefactor	heater
el chut	shot (at goal)
el octano	octane
*** 231 - 240 (/course/195613/spanish-nouns-4/24/)	
la banderita	"little flag, flag"
el gigantón	giant carnival figure
el astrágalo	"astragalus, astragal"
el astrofísico	astrophysicist
la gorrita	beanie
el barreno	"bore, shot hole, drill"
(el)(la) budista	buddhist
la macha	clam
la maquinilla	"clippers, razor"
la contraindicación	"contraindication, counter-indication"
*** 241 - 250 (/course/195613/spanish-nouns-4/25/)	
el condenado	"convicted, prisoner, damned soul"
el cuclillo	cuckoo
la quesería	dairy
el negador	denier
el detergente	detergent
(los)(las) gálatas	Galatians
el gauss	gauss
la muceta	"hood, cape"
la hipérbola	hyperbola
el tasajo	jerky
*** 251 - 260 (/course/195613/spanish-nouns-4/26/)	
el faldellín	kilt
el linóleo	"linoleum, lino"
la hilacha	"loose thread, frayed thread, odds and ends"
la lucerna	louver
el lunático	"lunatic, maniac, crackpot"
el macedonio	Macedonian
el menhir	menhir
la entreplanta	mezzanine
la minera	mining
el pececillo	"minnow, fry"
*** 261 - 270 (/course/195613/spanish-nouns-4/27/)	
la necropsia	necropsy
el fideo	"noodles, rake"
la cigala	"Norway lobster, Dublin Bay prawn, langoustine"
las parásitas	parasitic
(el)(la) paracaidista	"paratrooper, parachutist, sky diver"
el encurtido	pickled
el agujerito	Pinhole
el harapo	"rag, tatter, harapo"
la receptora	receiving
el repetidor	"repeater, relay"
*** 271 - 280 (/course/195613/spanish-nouns-4/28/)	
el retórico	"rhetoric, rhetorician"
el escombro	rubbish
la raspadura	"scratch, scrape, slivers"
el sépalo	sepal
la mosquita	small bird
el velocímetro	speedometer
el fogonero	stoker
el bronceado	"tan, suntan, sunburn"
el termopar	thermocouple
el estrangulador	throttle
*** 281 - 290 (/course/195613/spanish-nouns-4/29/)	
la tisana	tisane
el tónico	"tonic, skin lotion, skin toner"
la videocámara	video camera
(el)(la) vietnamita	Vietnamese
la biógrafa	biographer
el hastial	"gable, gable end"
la cofa	top
el neoyorquino	New Yorker
la agorafobia	agoraphobia
la arana	"spider, chandelier"
*** 291 - 300 (/course/195613/spanish-nouns-4/30/)	
la avienta	fans
la banquisa	"pack, icefield"
la baraúnda	turmoil
la bipolaridad	bipolarity
la creosota	creosote
la cucharita	spoon
el desvalimiento	helplessness
el ennoblecimiento	ennoblement
la inmaterialidad	immateriality
el inquilinato	occupation
*** 301 - 310 (/course/195613/spanish-nouns-4/31/)	
la irreflexión	"thoughtlessness, impetuosity"
la lena	"wood, firewood"
la marroquinería	"leather industry, leather tooling, leather goods store"
el minutero	"timer, minute hand"
el mocho	"kitty, mop, butt"
la musicoterapia	Music Therapy
la neurocirugía	neurosurgery
la perpetración	perpetration
la pesantez	heaviness
la prescindencia	regardless
*** 311 - 320 (/course/195613/spanish-nouns-4/32/)	
la razzia	raid
la reconfiguración	reconfiguration
la requisición	"seizure, confiscation, requisition"
el salmorejo	gazpacho
el socialcristiano	Social Christian
la sonorización	PA System
el store	sunblind
el terebinto	terebinth
(el)(la) mandante	principal
el besamanos	"royal audience, forelock touching"
*** 321 - 330 (/course/195613/spanish-nouns-4/33/)	
la pasionaria	passionflower
la cizalla	"wire cutters, metal shears, guillotine"
la amura	"bow, tack"
el canastillo	"wicker tray, small basket"
los asesorados	advised
los parecidos	"alike, similarity, likeness"
el astracán	astrakhan
el baobab	baobab
la cerbatana	"blowgun, blowpipe, peashooter"
el calderero	boilermarker
*** 331 - 340 (/course/195613/spanish-nouns-4/34/)	
el encuadernador	"bookbinder, binder"
la carbonada	carbon
el chaflán	"chamfer, bevel"
los mofletes	cheeks
las dicotiledóneas	dicots
la draga	"dredger, dredge, drag"
la gotita	droplet
el elástico	"elastic, sprung base"
el enema	"enema, clyster"
el escarpe	escarp
*** 341 - 350 (/course/195613/spanish-nouns-4/35/)	
(el)(la) industrial	"factory worker, industrialist, manufacturer"
la breva	"fig, plum job, cigar"
el flato	"flatulence, flatus, flatulency"
el flirteo	"flirtation, philandering"
la fluorita	fluorite
el glotón	"glutton, wolverine, gourmand"
la calima	"haze, calina"
el heliotropo	heliotrope
el camelo	"hoax, pack of lies, con"
la mentada	mented
*** 351 - 360 (/course/195613/spanish-nouns-4/36/)	
la micra	micron
(el)(la) cambista	moneychanger
el nitrito	nitrite
el robledo	oakwood
el ofertorio	offertory
el oxímoron	oxymoron
el farmacólogo	pharmacologist
el allegado	"relative, follower, close relative"
el resonador	resonator
la talega	"sack, bag, moneybag"
*** 361 - 370 (/course/195613/spanish-nouns-4/37/)	
el imperdible	safety pin
la esclava	"slave, bangle, bracelet"
el clasificador	"sorter, filing cabinet"
el espagueti	spaghetti
el escupitajo	"spittle, spit, gob"
el ramalazo	streak
el sobrescrito	superscription
la sínfisis	symphysis
la proclividad	tendency
el terminador	terminator
*** 371 - 380 (/course/195613/spanish-nouns-4/38/)	
la tesina	"thesis, dissertation"
la trilladora	"thresher, threshing machine"
los desbaratados	thwarted
el amaño	"trickery, deception, trick"
la perogrullada	"truism, platitude"
la umbela	umbel
el urólogo	urologist
(el)(la) cuentista	storyteller
el provincianismo	provincialism
la torrefacción	"roasting, toasting"
*** 381 - 390 (/course/195613/spanish-nouns-4/39/)	
el sonajero	rattle
el esquizofrénico	"schizophrenic, schizo"
los luxemburgueses	from Luxembourg
los binoculares	binoculars
la amoralidad	amorality
la antracita	anthracite
la brisca	Spanish card game
el cardumen	shoal
la casuística	casuistry
la comercialidad	commerciality
*** 391 - 400 (/course/195613/spanish-nouns-4/40/)	
el corindón	corundum
el egotismo	egotism
el entretiempo	spring
el espectrógrafo	spectrograph
la fóvea	fovea
la heparina	heparin
el herraje	"ironwork, metalwork, iron fittings"
el histrionismo	histrionics
el ichu	bunch grass
el laicado	laity
*** 401 - 410 (/course/195613/spanish-nouns-4/41/)	
la madona	Madonna
el mesencéfalo	midbrain
el mesocarpio	mesocarp
el monosacárido	monosaccharide
(el)(la) montañista	mountaineer
el mormonismo	Mormonism
el nadir	nadir
el neceser	"overnight bag, toilet bag, vanity case"
el papaíto	"dad, daddy"
la perfusión	perfusion
*** 411 - 420 (/course/195613/spanish-nouns-4/42/)	
la poliandria	polyandry
el rubidio	rubidium
el sansón	Samson
el sarín	sarin
el sintoísmo	"Shintoism, Shinto"
el teísmo	theism
la teledetección	remote sensing
la teodicea	theodicy
el turón	polecat
el vademécum	formulary
*** 421 - 430 (/course/195613/spanish-nouns-4/43/)	
(el)(la) atacante	"attacker, assailant"
la acedera	sorrel
la tabacalera	cigarette factory
la juguetera	toyshop owner
el tris	"crack, rip, tearing noise"
el acumulador	"accumulator, storage battery"
la encallada	aground
los alpes	Alps
(el)(la) anatomista	anatomist
el tasador	"appraiser, assessor"
*** 431 - 440 (/course/195613/spanish-nouns-4/44/)	
(el)(la) autodidacta	"autodidact, self-taught person"
el barrabás	Barabbas
la mordida	"bite, bribe, backhander"
(el)(la) bolchevique	Bolshevik
el bovino	bovine
el bronquio	"bronchus, bronchial tube"
el dogo	Bulldog
el carbohidrato	carbohydrate
la coneja	"doe, rabbit"
el electo	"elect, elected member/congressman etc."
*** 441 - 450 (/course/195613/spanish-nouns-4/45/)	
el atrincheramiento	entrenchment
(el)(la) etarra	ETA
el cuartelillo	firehouse
la pescadería	fish market
el florín	florin
la formadora	forming
el puntazo	hoot
la iluminadora	illuminating
el incisivo	incisor
(los)(las) inocentes	innocent
*** 451 - 460 (/course/195613/spanish-nouns-4/46/)	
el saber	"knowledge, wisdom"
el nudillo	"knuckle, joint"
los merovingios	Merovingian
la emigrada	migrated
la tata	"nanny, nursemaid, dad"
el nórdico	"Norse, Nordic"
el paralítico	paralytic
el pasquín	pasquinade
la patogénesis	pathogenesis
la piltrafa	"remains, scraps, poor specimen"
*** 461 - 470 (/course/195613/spanish-nouns-4/47/)	
la retorta	retort
el revolucionario	revolutionary
el destripador	ripper
la añagaza	ruse
los temporeros	seasonal
el secuenciador	sequencer
el costurero	"sewing box, sewing room"
la musaraña	"shrew, shrewmouse, speck"
el herma	sisters
(el)(la) matarife	"slaughterer, butcher, slaughterman"
*** 471 - 480 (/course/195613/spanish-nouns-4/48/)	
el intradós	soffit
la espiguilla	spikelet
el zumaque	sumac
la contera	"tip, ferrule"
el váter	"toilet, bathroom"
el reblandecimiento	softening
el acimut	azimuth
el casabe	cassava
el jardincito	garden
la linotipia	linotype
*** 481 - 490 (/course/195613/spanish-nouns-4/49/)	
el maníaco	maniac
el provincialismo	provincialism
el viticultor	winegrower
el bailador	dancer
el bagazo	chaff
el recamado	embroidery
el casimir	cashmere
el epidemiólogo	epidemiologist
el alfajor	alfalfa
la senescencia	senescence
*** 491 - 500 (/course/195613/spanish-nouns-4/50/)	
la acometividad	"energy, enterprise"
el alveolo	"socket, alveolus"
la bacteriología	bacteriology
la carbonilla	coal dust
la catolicidad	Catholicity
el cercenamiento	"curtailment, retrenchment"
la cumplimentación	completion
la descongelación	thawing
el ectoplasma	ectoplasm
el enclaustramiento	confinement
*** 501 - 510 (/course/195613/spanish-nouns-4/51/)	
el enrolamiento	shipment
la falibilidad	fallibility
el fiyiano	Fijian
la gasificación	"gasification, aeration"
la gerontología	gerontology
la homofonía	homophony
el jansenismo	jansenism
el keroseno	kerosene
la manaza	paw
la martensita	martensite
*** 511 - 520 (/course/195613/spanish-nouns-4/52/)	
la mescalina	mescaline
el neutralizador	neutralizer
la nitrocelulosa	nitrocellulose
la parabellum	automatic pistol
el polipéptido	polypeptide
el pródigo	"prodigal, spendthrift, squanderer"
el productivismo	productivism
el propileno	propylene
el tamborileo	"rattle, patter"
el tigriña	Tigrinya
*** 521 - 530 (/course/195613/spanish-nouns-4/53/)	
la traducibilidad	translatability
la vacación	"vacation, holiday"
(el)(la) contrabajista	"double-bass player, bass guitarist"
la corredora	"runner, broker, driver"
el demostrador	demonstrator
el descuartizamiento	"carving up, cutting up, quartering"
el acusativo	accusative
el afroamericano	Afro-American
la asechanza	"ambush, trap, snare"
la amniocentesis	amniocentesis
*** 531 - 540 (/course/195613/spanish-nouns-4/54/)	
el anotador	annotator
la banderilla	"banderilla, skewered pickled foods, gibe"
la alubia	"bean, haricot, haricot bean"
el rompiente	breaking
(el)(la) manazas	butterfingers
el cetáceo	cetacean
la capillita	chapel
el farallón	cliff
los empañados	clouded
la carbonera	"coal mine, coal cellar, coal bunker"
*** 541 - 550 (/course/195613/spanish-nouns-4/55/)	
el economato	"company store, company shop, staff shop"
el endocarpio	endocarp
la chancleta	"flip-flop, thong"
el catorce	fourteen
el frote	friction
la gardenia	gardenia
el vejestorio	"geezer, dodo, old git"
el chismorreo	"gossip, scandal, gossiping"
la explanación	grading
la diorita	greenstone
*** 551 - 560 (/course/195613/spanish-nouns-4/56/)	
la homonimia	homonymy
la intercalación	"intercalation, insertion"
la befa	jeer
la nenita	little girl
el mangle	mangrove
el monito	monkey
el off	"off, off button"
la jira	"picnic, tour, excursion"
el planisferio	planisphere
el plomero	plumber
*** 561 - 570 (/course/195613/spanish-nouns-4/57/)	
la pomposidad	"pomposity, magnificence, splendor"
la prelacía	prelacy
el serbal	"rowan, service tree, sorb"
el chotis	schottische
el adoratorio	shrine
el eslavo	"Slavic, Slav, Slavonic"
el picapinos	Spotted
la batata	"sweet potato, batata, yam"
el tagalo	Tagalog
el tahitiano	Tahitian
*** 571 - 580 (/course/195613/spanish-nouns-4/58/)	
el andrajo	"tatter, rag"
la puntera	toe
la nadería	"trifle, little thing, nothing"
el lavatorio	"washing, lavabo, Maundy"
el pesaje	weighing
el trallazo	whiplash
el dandi	"dandy, dude"
el menguado	decrease
el eritrocito	"red blood cell, erythrocyte"
el quimono	kimono
*** 581 - 590 (/course/195613/spanish-nouns-4/59/)	
el posparto	postpartum
el ablandamiento	softening
el restorán	restaurant
(el)(la) consultante	consultant
la interviú	interview
el peletero	"furrier, skinner"
la gravidez	pregnancy
el siciliano	Sicilian
el tunecino	Tunisian
el zambo	half-breed
*** 591 - 600 (/course/195613/spanish-nouns-4/60/)	
la abejita	bee
la chiripa	"fluke, scratch, flash in the pan"
la comprensibilidad	comprehensibility
la copropiedad	coparcenary
la densificación	densification
la desmitificación	demystification
el didactismo	didacticism
el encarne	quarry
el fajín	sash
la feracidad	"fertility, productivity"
*** 601 - 610 (/course/195613/spanish-nouns-4/61/)	
la glutamina	glutamine
la inmodestia	immodesty
la invocadora	invoking
(el)(la) maorí	Maori
el mesmerismo	mesmerism
el modulador	modulator
el nestorianismo	Nestorianism
el nucleósido	nucleoside
el rededor	surrounding area
el rococó	rococo
*** 611 - 620 (/course/195613/spanish-nouns-4/62/)	
el seseo	seseo
el smash	smash
la supranacionalidad	supranational
el teflón	Teflon
la tiesura	"stiffness, conceit, stubborness"
el tordillo	dapple
la transexualidad	transsexuality
el turbión	storm
el ultraconservador	ultraconservative
la vaqueta	cow
*** 621 - 630 (/course/195613/spanish-nouns-4/63/)	
el voseo	use of vos form
la parrafada	earful
la arenisca	sandstone
la harpa	harp guitar
la ablución	ablution
la abscisa	abscissa
(el)(la) aliancista	Alliance
el anestésico	anesthetic
(el)(la) anestesista	"anesthetist, anaesthesiologist"
el ángelus	Angelus
*** 631 - 640 (/course/195613/spanish-nouns-4/64/)	
la afonía	"aphonia, aphony, dysphonia"
el apotegma	"apothegm, apophthegm"
la aterosclerosis	atherosclerosis
la parrillada	"barbecue, grill"
el biotopo	biotope
la tasca	boozer
el telesilla	"chairlift, chair lift"
el tendedero	clothes dryer
el celaje	"cloudscape, light clouds, scattered clouds"
el comunero	commoner
*** 641 - 650 (/course/195613/spanish-nouns-4/65/)	
el utilitario	"compact, cycle-car"
la chalina	cravat
el crematorio	"crematory, crematorium"
(el)(la) terrícola	Earthman
el emprendedor	entrepreneur
el falcón	falcon
la imposta	fascia
el fórceps	"forceps, forcep"
el fusible	fuse
la genuflexión	genuflection
*** 651 - 660 (/course/195613/spanish-nouns-4/66/)	
el dorador	gilder
la glomerulonefritis	glomerulonephritis
el hemistiquio	hemistich
(el)(la) herbicida	"herbicide, weed-killer"
el hondureño	Honduran
(el)(la) hugonote	Huguenot
el lechón	"lucky duck, pig, pork"
el enmascarado	masked person
el felpudo	"mat, doormat"
la mixtificación	mystification
*** 661 - 670 (/course/195613/spanish-nouns-4/67/)	
(el)(la) zoquete	"oaf, duffer, dullard"
la oblación	oblation
(el)(la) oboísta	oboist
el proscrito	"outlaw, outcast"
la descamación	peeling
el perdigón	"pellet, shot, partridge chick"
la petroquímica	"petrochemistry, petrochemical science"
el martinete	pile driver
la lanzadora	"pitcher, thrower"
el polisacárido	polysaccharide
*** 671 - 680 (/course/195613/spanish-nouns-4/68/)	
(el)(la) retratista	portraitist
el fruncimiento	puckering
el reforzador	reinforcer
el resistor	resistor
el rollito	roll
el despistado	scatterbrain
la esquistosomiasis	schistosomiasis
el escuálido	scrawny
el escaque	slopes off
(el)(la) frotis	smear
*** 681 - 690 (/course/195613/spanish-nouns-4/69/)	
las tortícolis	"stiff neck, crick, torticollis"
el alhelí	"stock, wallflower"
la sabandija	"vermin, bug, louse"
la astrónoma	"astronomer, stargazer"
la erudita	"scholar, polymath"
la mosqueta	flycatcher
la palentina	Palencia
el atizador	poker
el afgano	Afghan
el toledano	Toledo
*** 691 - 700 (/course/195613/spanish-nouns-4/70/)	
el vallisoletano	Valladolid
las desaparecidas	missing person
el acíbar	aloe juice
el alófono	allophone
el arrabio	pig iron
el batín	dressing gown
la blástula	blastula
el cacareo	"cackle, cluck, clucking"
la covariancia	covariance
el crol	crawl
*** 701 - 710 (/course/195613/spanish-nouns-4/71/)	
la eslovena	"Slovenian, Slovene"
el hatajo	bunch
(el)(la) internacional	international
la lida	output
la miastenia	gravis
el mixteco	Mixtec
el monarquismo	"royalism, monarchism"
el morón	hummock
el palisandro	"rosewood, palisander"
el pericardio	pericardium
*** 711 - 720 (/course/195613/spanish-nouns-4/72/)	
el periostio	periosteum
la petrificación	"petrification, petrifaction"
el píloro	pylorus
el pizzicato	pizzicato
el poliestireno	polystyrene
la quincalla	"hardware, ironmongery, trinket"
la radioastronomía	radio astronomy
la rubéola	"rubella, German measles"
la síncopa	"syncope, syncopation"
el talonario	"book, receipt book, book of tickets, ticket book"
*** 721 - 730 (/course/195613/spanish-nouns-4/73/)	
(el)(la) pringue	"grease, dripping"
el gorgojo	weevil
el albino	albino
el altímetro	altimeter
la barbie	Barbie
el bongo	bongo drum
la camelia	camellia
(los)(las) cantonales	cantonal
el capuchino	"cappuccino, Capuchin, capuchin"
(el)(la) castellonense	Castellon
*** 731 - 740 (/course/195613/spanish-nouns-4/74/)	
la cebolleta	"chives, scallion, spring onion"
la coctelera	cocktail shaker
el collarín	"collar, ruff, bolster"
el cornetín	cornet
la divagación	"digression, vagary, divagation"
la vellosidad	"downiness, fuzziness"
el delineante	"draftsman, draftsman US, draughtsman UK"
los estes	East
la escarola	"endive, chicory, ruff"
el endoscopio	endoscope
*** 741 - 750 (/course/195613/spanish-nouns-4/75/)	
la embarrada	"gaffe, blunder, screw-up"
el geranio	geranium
los gigavatios	gigawatts
la gubia	gouge
el cañonero	gunner
el hioides	hyoid
el interrogador	"interrogator, examiner"
el jordán	Jordan
la tricota	knitted
el lanzazo	lance
*** 751 - 760 (/course/195613/spanish-nouns-4/76/)	
la lividez	lividness
el merodeador	"marauder, prowler"
los máximos	"maximum, high, possible"
el minio	"minium, red lead"
la moralina	moralizing
el narguile	"narghile, hookah, hooka"
el acaecimiento	occurrence
la ordalía	ordeal
la encuestadora	polling
la verdolaga	purslane
*** 761 - 770 (/course/195613/spanish-nouns-4/77/)	
el radiómetro	radiometer
la ropera	rapier
(el)(la) rebelde	"rebel, insurgent"
el renovador	renovator
la maroma	"rope, hawser, somersault"
la escoliosis	scoliosis
el cendal	sendal
los sietes	sevens
el apresto	"sizing, priming, size"
la cadenilla	small chain
*** 771 - 780 (/course/195613/spanish-nouns-4/78/)	
la sillita	small chair
las solanáceas	Solanaceae
el picapedrero	stonecutter
la ventosa	"sucker, suction pad"
(el)(la) turquesa	turquoise
el zigoto	zygote
el cúter	cutter
la delatora	"informer, delator"
la enviada	envoy
el stalinismo	Stalinism
*** 781 - 790 (/course/195613/spanish-nouns-4/79/)	
las gárgaras	"gargling, gargle"
el hipervínculo	hyperlink
el gollete	neck
la arterioesclerosis	arteriosclerosis
el caudillaje	leadership
el acelerómetro	accelerometer
el actinio	actinium
el agotador	exhausting
la alternación	"alternation, interchange, rotation"
la americanización	Americanization
*** 791 - 800 (/course/195613/spanish-nouns-4/80/)	
la bielorrusa	Belarusian
la bradicardia	bradycardia
la bruta	brute
el cafecito	cup of coffee
el claqué	claque
el clarete	claret
el colágeno	collagen
la conicidad	taper
la cumbrera	ridgepole
la defenestración	defenestration
*** 801 - 810 (/course/195613/spanish-nouns-4/81/)	
la denigración	denigration
el desaseo	"sleaze, slovenliness"
la desnuclearización	denuclearization
el desquiciamiento	dislocations
la electrocución	electrocution
el epigastrio	epigastrium
el escapismo	escapism
la eurovisión	eurovision
la gemación	gemmation
el guacamole	"guacamole, avocado dip"
*** 811 - 820 (/course/195613/spanish-nouns-4/82/)	
el guardapelo	locket
la habitualidad	habitual
el hipoclorito	hypochlorite
el lechazo	"young lamb, bash, swipe"
la manufacturación	manufacturing
el maquiavelismo	Machiavellianism
la mecanografía	typing
la melisa	"balm, lemon balm"
el milanés	Milanese
la morralla	whitebait
*** 821 - 830 (/course/195613/spanish-nouns-4/83/)	
el parsi	Parsi
el pedaleo	pedaling
el pentámetro	pentameter
la poliginia	polygyny
el robustecimiento	strengthening
la ropita	clothes
la serina	serine
la tarabilla	"chatterbox, featherbrained person, useless individual"
el tomahawk	tomahawk
la vitola	band
*** 831 - 840 (/course/195613/spanish-nouns-4/84/)	
(el)(la) contorsionista	contortionist
el ganchillo	"crochet hook, crochet"
el disentimiento	"dissent, disagreement"
el melocotonero	peach tree
el rappel	"abseiling, rappel"
la inasistencia	"absence, non-attendance, lack of support"
(el)(la) acróbata	acrobat
el anfibio	amphibian
la anilina	aniline
la bacante	"Bacchante, bacchanal"
*** 841 - 850 (/course/195613/spanish-nouns-4/85/)	
la bestezuela	beastie
la negrita	"bold type, bold face"
